SampleID	species	habitat	s_h	group
LECT-A	Algae	LECT-A	Algae_LECT-A	Algae
LECT-B	Algae	LECT-B	Algae_LECT-B	Algae
PREI-A	Algae	PREI-A	Algae_PREI-A	Algae
PREI-A(2)	Algae	PREI-A(2)	Algae_PREI-A(2)	Algae
MARS-A	Algae	MARS-A	Algae_MARS-A	Algae
MARS-B	Algae	MARS-B	Algae_MARS-B	Algae
MONF-A	Algae	MONF-A	Algae_MONF-A	Algae
THOM-A	Algae	THOM-A	Algae_THOM-A	Algae
MONB-A	Algae	MONB-A	Algae_MONB-A	Algae
SAMA-A	Algae	SAMA-A	Algae_SAMA-A	Algae
SIMO-A	Algae	SIMO-A	Algae_SIMO-A	Algae
PUYM-B	Algae	PUYM-B	Algae_PUYM-B	Algae
MONTI-A	Algae	MONTI-A	Algae_MONTI-A	Algae
MONTI-B	Algae	MONTI-B	Algae_MONTI-B	Algae
LUNA-A	Algae	LUNA-A	Algae_LUNA-A	Algae
BOULO-A	Algae	BOULO-A	Algae_BOULO-A	Algae
MASS-A	Algae	MASS-A	Algae_MASS-A	Algae
SEIS-A	Algae	SEIS-A	Algae_SEIS-A	Algae
MEDA-A	Algae	MEDA-A	Algae_MEDA-A	Algae
BARC-A	Algae	BARC-A	Algae_BARC-A	Algae
VILLEM-A	Algae	VILLEM-A	Algae_VILLEM-A	Algae
BERNA-A	Algae	BERNA-A	Algae_BERNA-A	Algae
MONTG-B	Algae	MONTG-B	Algae_MONTG-B	Algae
BAGNB-B	Algae	BAGNB-B	Algae_BAGNB-B	Algae
BANI-A	Algae	BANI-A	Algae_BANI-A	Algae
BANI-B	Algae	BANI-B	Algae_BANI-B	Algae
BANI-C	Algae	BANI-C	Algae_BANI-C	Algae
BULA-A	Algae	BULA-A	Algae_BULA-A	Algae
GREZ-A	Algae	GREZ-A	Algae_GREZ-A	Algae
CAZA-A	Algae	CAZA-A	Algae_CAZA-A	Algae
CIER-A	Algae	CIER-A	Algae_CIER-A	Algae
CIER-B	Algae	CIER-B	Algae_CIER-B	Algae
CIER-C	Algae	CIER-C	Algae_CIER-C	Algae
MONTM-A	Algae	MONTM-A	Algae_MONTM-A	Algae
MONTM-B	Algae	MONTM-B	Algae_MONTM-B	Algae
JUZET-A	Algae	JUZET-A	Algae_JUZET-A	Algae
JUZET-B	Algae	JUZET-B	Algae_JUZET-B	Algae
JUZET-C	Algae	JUZET-C	Algae_JUZET-C	Algae
CHEI-A	Algae	CHEI-A	Algae_CHEI-A	Algae
SALE-A	Algae	SALE-A	Algae_SALE-A	Algae
AUZE-A	Algae	AUZE-A	Algae_AUZE-A	Algae
AURE-B	Algae	AURE-B	Algae_AURE-B	Algae
LABA-A	Algae	LABA-A	Algae_LABA-A	Algae
LABA-B	Algae	LABA-B	Algae_LABA-B	Algae
LABA-C	Algae	LABA-C	Algae_LABA-C	Algae
SAUB-C	Algae	SAUB-C	Algae_SAUB-C	Algae
SAUB-B	Algae	SAUB-B	Algae_SAUB-B	Algae
SAUB-A	Algae	SAUB-A	Algae_SAUB-A	Algae
LAMA-A	Algae	LAMA-A	Algae_LAMA-A	Algae
LAMA-B	Algae	LAMA-B	Algae_LAMA-B	Algae
CLAR-A	Algae	CLAR-A	Algae_CLAR-A	Algae
CLAR-B	Algae	CLAR-B	Algae_CLAR-B	Algae
CLAR-C	Algae	CLAR-C	Algae_CLAR-C	Algae
CAST-A	Algae	CAST-A	Algae_CAST-A	Algae
CEPE-A	Algae	CEPE-A	Algae_CEPE-A	Algae
MERV-A	Algae	MERV-A	Algae_MERV-A	Algae
BESS-A	Algae	BESS-A	Algae_BESS-A	Algae
LAGR-A	Algae	LAGR-A	Algae_LAGR-A	Algae
DIEU-A	Algae	DIEU-A	Algae_DIEU-A	Algae
NAZA-A	Algae	NAZA-A	Algae_NAZA-A	Algae
LAUZ-A	Algae	LAUZ-A	Algae_LAUZ-A	Algae
BARR-A	Algae	BARR-A	Algae_BARR-A	Algae
DECA-A	Algae	DECA-A	Algae_DECA-A	Algae
CAPE-A	Algae	CAPE-A	Algae_CAPE-A	Algae
MONE-A	Algae	MONE-A	Algae_MONE-A	Algae
ANGE-A	Algae	ANGE-A	Algae_ANGE-A	Algae
ANGE-B	Algae	ANGE-B	Algae_ANGE-B	Algae
GAIL-A	Algae	GAIL-A	Algae_GAIL-A	Algae
GAIL-B	Algae	GAIL-B	Algae_GAIL-B	Algae
MONT-A	Algae	MONT-A	Algae_MONT-A	Algae
MONT-B	Algae	MONT-B	Algae_MONT-B	Algae
AMBR-A	Algae	AMBR-A	Algae_AMBR-A	Algae
MULE-A	Algae	MULE-A	Algae_MULE-A	Algae
PAMP-A	Algae	PAMP-A	Algae_PAMP-A	Algae
PAMP-B	Algae	PAMP-B	Algae_PAMP-B	Algae
BARA-B	Algae	BARA-B	Algae_BARA-B	Algae
SORE-A	Algae	SORE-A	Algae_SORE-A	Algae
LABR-A	Algae	LABR-A	Algae_LABR-A	Algae
ROQUE-B	Algae	ROQUE-B	Algae_ROQUE-B	Algae
LACR-A	Algae	LACR-A	Algae_LACR-A	Algae
LACR-C	Algae	LACR-C	Algae_LACR-C	Algae
CASTI-A	Algae	CASTI-A	Algae_CASTI-A	Algae
BULE-A	Algae	BULE-A	Algae_BULE-A	Algae
JACO-A	Algae	JACO-A	Algae_JACO-A	Algae
JACO-B	Algae	JACO-B	Algae_JACO-B	Algae
JACO-C	Algae	JACO-C	Algae_JACO-C	Algae
SAUR-A	Algae	SAUR-A	Algae_SAUR-A	Algae
MERE-A	Algae	MERE-A	Algae_MERE-A	Algae
MERE-B	Algae	MERE-B	Algae_MERE-B	Algae
AXLE-A	Algae	AXLE-A	Algae_AXLE-A	Algae
LUZE-A	Algae	LUZE-A	Algae_LUZE-A	Algae
LUZE-B	Algae	LUZE-B	Algae_LUZE-B	Algae
