SampleID	species	habitat	group	s_h
bgh_2017_00001	arabidopsis_thaliana	CAS	Arabidopsis	arabidopsis_thaliana_CAS
bgh_2017_00011	arabidopsis_thaliana	CAS	Arabidopsis	arabidopsis_thaliana_CAS
bgh_2017_00015	arabidopsis_thaliana	CAS	Arabidopsis	arabidopsis_thaliana_CAS
bgh_2017_00017	arabidopsis_thaliana	CAS	Arabidopsis	arabidopsis_thaliana_CAS
bgh_2017_00019	arabidopsis_thaliana	CAS	Arabidopsis	arabidopsis_thaliana_CAS
bgh_2017_00021	arabidopsis_thaliana	CAS	Arabidopsis	arabidopsis_thaliana_CAS
bgh_2017_00023	arabidopsis_thaliana	CAS	Arabidopsis	arabidopsis_thaliana_CAS
bgh_2017_00025	arabidopsis_thaliana	CAS	Arabidopsis	arabidopsis_thaliana_CAS
bgh_2017_00003	arabidopsis_thaliana	CAS	Arabidopsis	arabidopsis_thaliana_CAS
bgh_2017_00005	arabidopsis_thaliana	CAS	Arabidopsis	arabidopsis_thaliana_CAS
bgh_2017_00007	arabidopsis_thaliana	CAS	Arabidopsis	arabidopsis_thaliana_CAS
bgh_2017_00009	arabidopsis_thaliana	CAS	Arabidopsis	arabidopsis_thaliana_CAS
bourceret_2016_00071	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00083	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00084	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00085	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00086	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00087	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00088	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00089	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00072	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00090	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00091	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00092	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00093	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00094	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00073	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00074	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00095	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00096	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00097	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00098	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00099	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00100	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00101	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00102	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00103	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00104	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00105	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00106	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00107	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00108	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00109	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00110	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00111	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00112	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00113	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00114	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00115	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00116	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00117	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00118	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00119	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00120	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00121	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00122	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00123	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00124	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00125	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00126	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00127	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00128	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00129	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00130	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2016_00131	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2018_00007	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2018_00009	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2018_00001	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2018_00002	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2018_00003	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2018_00049	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2018_00050	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2018_00051	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2018_00052	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2018_00053	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2018_00054	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2018_00055	zea_mays_l	DOK	Maize	zea_mays_l_DOK
bourceret_2018_00056	zea_mays_l	DOK	Maize	zea_mays_l_DOK
bourceret_2018_00057	zea_mays_l	DOK	Maize	zea_mays_l_DOK
bourceret_2018_00004	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2018_00005	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2018_00006	zea_mays_l	DEMO	Maize	zea_mays_l_DEMO
bourceret_2018_00100	zea_mays_l	DOK	Maize	zea_mays_l_DOK
bourceret_2018_00101	zea_mays_l	DOK	Maize	zea_mays_l_DOK
bourceret_2018_00102	zea_mays_l	DOK	Maize	zea_mays_l_DOK
bourceret_2018_00103	zea_mays_l	DOK	Maize	zea_mays_l_DOK
bourceret_2018_00104	zea_mays_l	DOK	Maize	zea_mays_l_DOK
bourceret_2018_00105	zea_mays_l	DOK	Maize	zea_mays_l_DOK
