Var1	core	number_sites	mean	sd	se	Kingdom
3e1119b573f36af9a133b0cbfc9e80a7	Hypocreales	71	0.033043884	0.127652738	0.015149593	Fungi
dbc495539829172c1bb5a76faa3450d3	Hypocreales	12	0.085703831	0.206145008	0.059508938	Fungi
4f9583249faa626abf88b0d38075e6e1	Chaetothyriales	39	0.026734311	0.066900072	0.010712585	Fungi
3530d7519813b052b14330b2d54f23ef	Hypocreales	5	0.165286443	0.356420929	0.159396285	Fungi
f6d338ec7e8b5bb748381013b8053f22	Chaetothyriales	50	0.016698572	0.030451082	0.004306433	Fungi
3651972045124590a0b441270cf5082d	Chaetothyriales	96	0.011220571	0.012491317	0.00127489	Fungi
56b17ee22867f28d69ceed6536bce3f4	Hypocreales	71	0.01319793	0.037405801	0.004439252	Fungi
352d386293a59777de3e3e6a91f58466	Hypocreales	74	0.016006515	0.040053553	0.004656131	Fungi
c6a83b1e0ea3c5631b794a6cbb06f77a	Chaetothyriales	26	0.021549142	0.077236873	0.015147397	Fungi
e4b9a9f140917770a16ef8c7eb8fe858	Pleosporales	98	0.006958717	0.010586489	0.001069397	Fungi
551cadc6f95e783da898b01d8c1078b2	Pleosporales	51	0.010438222	0.013430887	0.0018807	Fungi
d7a9a110d2e745357d1f8284dc3a950b	Hypocreales	81	0.009567077	0.015425918	0.001713991	Fungi
b54b8f7a9222f490553525009d1795ef	Pleosporales	75	0.012927569	0.045867667	0.005296342	Fungi
eebd0b71090eb4e2ca3179f4ddff1cff	Chaetothyriales	21	0.014708271	0.036800825	0.008030598	Fungi
f01c586267b9810d2295f0df5e54c366	Pleosporales	32	0.013939976	0.042656916	0.007540749	Fungi
7d6d4fdd648bb5b6221290a2c5c9fe42	Chaetothyriales	24	0.02131316	0.071793767	0.014654841	Fungi
07e2e0d6f14e6c9eb87db40417be3a72	Helotiales	57	0.008276004	0.020767551	0.002750729	Fungi
715a5d3872fd3c05667063cb35a8ab88	Chaetothyriales	55	0.007416148	0.008789201	0.001185136	Fungi
5b4a9fcf77d768f8e8448c0e1ad080c9	Chaetothyriales	23	0.013765776	0.021926973	0.00457209	Fungi
4203e09c87b3b7ef69b801652d43dcf6	Helotiales	6	0.031789284	0.050588023	0.020652474	Fungi
110d7b706987df23c37391bdf8246d0a	Pleosporales	20	0.016980985	0.043395045	0.009703427	Fungi
6cf39736ac1f676d72f985394c6685c6	Pleosporales	107	0.004337082	0.007587248	0.000733487	Fungi
4a742985ba44e09c75723c2eb95632a6	Chaetothyriales	23	0.017845185	0.037590306	0.007838121	Fungi
73514f6e23fa430c512721de0d7376a3	Hypocreales	99	0.004938027	0.007100322	0.000713609	Fungi
bbcca7e48999acdfcece674437c72c2f	Hypocreales	40	0.012042058	0.022966307	0.003631292	Fungi
4d97b50e59816436d2b097d387d17d01	Pleosporales	31	0.014118564	0.025811867	0.004635948	Fungi
8591c80a901aef13d0dca18c88842b17	Pleosporales	36	0.009061931	0.018546429	0.003091072	Fungi
3fa7515fdf29d8e0a97e8505c954e112	Chaetothyriales	62	0.006052747	0.008470688	0.001075778	Fungi
7167308210a2bebaac12c61fd5799dd8	Pleosporales	62	0.007206472	0.012227115	0.001552845	Fungi
e255a7cac19c3236b25e183868983627	Hypocreales	39	0.008891808	0.027605937	0.004420488	Fungi
1fd9426fd82dbe1663b15cedd10ff25b	Hypocreales	87	0.004201874	0.006652449	0.000713217	Fungi
86c68b5a44eae6ab2dd0306c06a80f2f	Chaetothyriales	62	0.007713045	0.02084916	0.002647846	Fungi
f00b740a33809002ce6b859dde331f02	Hypocreales	10	0.028692225	0.049291982	0.015587493	Fungi
450d4286226aa395ae560c0f454d94ec	Helotiales	26	0.014633165	0.050433583	0.009890839	Fungi
7e28c53cd93906847adefdb628d8478a	Pleosporales	69	0.008271538	0.014949112	0.001799662	Fungi
4a6fd29df2bd9a66a4b0cd683c2863cc	Hypocreales	19	0.011994062	0.036517929	0.008377787	Fungi
095779591bc0f8804c8b9df75272a503	Helotiales	15	0.013206926	0.029749154	0.007681198	Fungi
177a530c310d703f1f0084a24bf9a3e9	Helotiales	16	0.01319067	0.022477654	0.005619414	Fungi
ebbacbda98427ba94a3219022c67eb6c	Chaetothyriales	19	0.013045494	0.027939738	0.006409815	Fungi
acd831fd981099b26d656188822cf09d	Chaetothyriales	22	0.010200836	0.022932445	0.004889214	Fungi
a03e00af88d590722774a3c17f1d922c	Helotiales	2	0.180691698	0.254943657	0.180272389	Fungi
798865536b370f2ac8712da7e60b4f92	Hypocreales	32	0.005722456	0.021384679	0.003780313	Fungi
f4e108462f1c468a653db300491953f6	Chaetothyriales	18	0.021508407	0.05529007	0.013031994	Fungi
49b5256866c7390eed43b62513d5e167	Chaetothyriales	8	0.034302878	0.027730741	0.009804298	Fungi
9076f7a32ebb4ddf69860ad693844fd5	Hypocreales	23	0.011867061	0.014238494	0.002968931	Fungi
7eb18d4d4606c05efa5aa34a37a59456	Hypocreales	74	0.005042764	0.011942459	0.001388283	Fungi
b9918b210f67591d3d7bfd1d9352bd62	Chaetothyriales	11	0.016631649	0.024685713	0.007443022	Fungi
1cfed5ec88a3950b146bd54d22797e37	Hypocreales	39	0.007505444	0.010339111	0.001655583	Fungi
eca64f75897334570e1412fe0e94bafb	Chaetothyriales	15	0.016385346	0.031066101	0.008021233	Fungi
bc8f912bf4b02ea91a664547ea0ca6cb	Chaetothyriales	9	0.026312361	0.053398739	0.01779958	Fungi
3349f0b50c0cc58aa86de7ced77a9acf	Xylariales	75	0.003361689	0.006284543	0.000725677	Fungi
c4c848c6fb4cd8f2c1af8017cd8f4abc	Pleosporales	77	0.005136461	0.009608744	0.001095018	Fungi
6019e3e7d93afcf0f093c1ec1e2d9cd9	Hypocreales	16	0.012407708	0.032467227	0.008116807	Fungi
033a2b71c44a58fe335addc7d654d389	Hypocreales	11	0.008782174	0.019848745	0.005984622	Fungi
2e38ecbf588d6f08c1405dfdb3fe9a0b	Helotiales	3	0.069210633	0.102529815	0.059195617	Fungi
689e3414de92bf85debdeb1c353c582c	Pleosporales	8	0.019143217	0.049000152	0.01732417	Fungi
2187efe89d38af10c229c89c19cac251	Pleosporales	3	0.074807298	0.123472457	0.071286856	Fungi
990b3f232755eb5878ac961d5a8b5b25	Chaetothyriales	14	0.015573505	0.037414692	0.009999497	Fungi
3d78cebb79e70aab2140eca988a4c599	Pleosporales	72	0.003129487	0.003613677	0.000425876	Fungi
929837e2460f6d62504f7512ceca7ba0	Chaetothyriales	8	0.024946184	0.041350685	0.014619675	Fungi
beb5a313dbdc3e643f850d73497a6be2	Pleosporales	70	0.003300542	0.004795749	0.000573202	Fungi
67954262f77b868439a66fb0d9387f87	Hypocreales	12	0.011123042	0.019261684	0.005560369	Fungi
105531b5f21f9bdedd5b8d6257cc2386	Chaetothyriales	24	0.007029009	0.013386616	0.002732532	Fungi
7c7245a1579bbbee7a275c91ba5d78e4	Pleosporales	54	0.003682175	0.004615326	0.000628066	Fungi
3c3ab065593bc589104045fb5d67af9d	Chaetothyriales	19	0.010113501	0.023157438	0.005312681	Fungi
a25d2548e352059943134a7e3e9a0ded	Hypocreales	26	0.006834415	0.01218517	0.002389708	Fungi
855d333f85bb11834437c4480289ed61	Chaetothyriales	23	0.012388297	0.031313485	0.006529313	Fungi
594381043d3c2981b1f6d7c5508ddbf2	Pleosporales	19	0.010797235	0.022047894	0.005058134	Fungi
5e5e52a6f5271a12ce9005e18fc0ef2f	Pleosporales	41	0.00612205	0.008182319	0.001277864	Fungi
f3b95861ed9b80df801bee3608e3d24d	Chaetothyriales	19	0.005399125	0.007210341	0.001654166	Fungi
a96078b17eb82a36a9f89d8b4c0441b4	Pleosporales	42	0.004794546	0.005344491	0.000824673	Fungi
6969d7606c73ecfe57e8281b7a7f26d0	Pleosporales	3	0.034336585	0.057577775	0.033242544	Fungi
8af6b32886132c39b5cacac32d461a74	Pleosporales	14	0.019671998	0.063312609	0.016921006	Fungi
b87afb9f3b01f315d97adae11450a9b0	Helotiales	18	0.006908077	0.013404241	0.00315941	Fungi
ccd65203255816888883c4fe28cf563f	Helotiales	16	0.005703548	0.011676572	0.002919143	Fungi
23e937e9f5ff731c47f347d71cf73684	Hypocreales	28	0.00580751	0.004117283	0.000778093	Fungi
7f77cacb05315b89ebb40b7bde56d254	Hypocreales	21	0.006019844	0.016530958	0.003607351	Fungi
3ef978fc7de5a779b3a2a463cdff3481	Chaetothyriales	6	0.049385565	0.073923166	0.030179006	Fungi
a3dfbaa4f48cd742de1a5d2be779449d	Hypocreales	25	0.002828485	0.006204201	0.00124084	Fungi
3ae6cf024ee90c99c3f4f86f9106d760	Helotiales	16	0.007292498	0.011694158	0.002923539	Fungi
c604a79adb5bb6d79e855668441d5665	Pleosporales	2	0.079227402	0.111393312	0.078766966	Fungi
47c96a25a62e54635f42fe08c555b224	Helotiales	48	0.003371736	0.007078908	0.001021752	Fungi
6bb747c4851fe6cf5de7eadcca495527	Pleosporales	15	0.009674581	0.020910135	0.005398974	Fungi
0fb8ebfc4b97a0084987769d6d130d63	Chaetothyriales	7	0.010116384	0.011920088	0.00450537	Fungi
4d26e401f03aa76e056a65228d64ea9f	Helotiales	3	0.028342411	0.047992377	0.027708412	Fungi
511a8d850cbc2c89ef7a1d39d4b6bca3	Pleosporales	69	0.003772242	0.011636704	0.001400895	Fungi
d3ea60865f2e09cfea1ff8b61df1da51	Chaetothyriales	4	0.025441012	0.044165783	0.022082891	Fungi
4fc16342d756926b57f036e5e9726780	Chaetothyriales	3	0.032085146	0.050577028	0.029200661	Fungi
19e83ef0048861c6aa9ce9fb1e26fd5d	Pleosporales	3	0.045447047	0.07300008	0.042146616	Fungi
8755b05666ea2d1f0e18c67f7c4a5afe	Helotiales	32	0.003891333	0.009296552	0.001643414	Fungi
dbebdb6abe12518e61f98fbdd2609c5d	Chaetothyriales	12	0.008322771	0.012537359	0.003619224	Fungi
f616a5edd211f66cc8ad3b14e404dbd3	Xylariales	2	0.136169058	0.183913679	0.130046609	Fungi
