Group.1	Acarosporales	Acrospermales	Agaricales	Agaricostilbales	Amblyosporida	Amphisphaeriales	Amylocorticiales	Annulatascales	Archaeorhizomycetales	Archaeosporales	Arthoniales	Ascosphaerales	Asterinales	Atheliales	Atractiellales	Atractosporales	Auriculariales	Baeomycetales	Basidiobolales	Boletales	Boliniales	Botryosphaeriales	Branch06	Calcarisporiellales	Caliciales	Calosphaeriales	Candelariales	Cantharellales	Capnodiales	Chaetosphaeriales	Chaetothyriales	Chytridiales	Cladoriellales	Coniochaetales	Coniosporiales	Cordanales	Corticiales	Coryneliales	Cystobasidiales	Cystofilobasidiales	Dacrymycetales	Diaporthales	Diversisporales	Dothideales	Endogonales	Entorrhizales	Entylomatales	Erysiphales	Erythrobasidiales	Eurotiales	Exobasidiales	Filobasidiales	GS33	GS36	Geastrales	Geminibasidiales	Geoglossales	Gloeophyllales	Glomerales	Glomerellales	Gloniales	Gomphales	Gromochytriales	Helotiales	Hyaloraphidiales	Hymenochaetales	Hypocreales	Hysteriales	Jahnulales	Lecanorales	Leucosporidiales	Lichenostigmatales	Lichinales	Lobulomycetales	Lulworthiales	Magnaporthales	Malasseziales	Microascales	Microbotryales	Microthyriales	Minutisphaerales	Monoblepharidales	Mortierellales	Mucorales	Muyocopronales	Mycosphaerellales	Myriangiales	Myrmecridiales	Mytilinidiales	Neodactylariales	Neophaeothecales	Onygenales	Orbiliales	Ostropales	Paraglomerales	Patellariales	Peltigerales	Pertusariales	Pezizales	Phacidiales	Phaeomoniellales	Phallales	Phomatosporales	Pisorisporiales	Platygloeales	Pleosporales	Polyporales	Pucciniales	Pyxidiophorales	Rhizophlyctidales	Rhizophydiales	Rhytismatales	Russulales	Saccharomycetales	Sakaguchiales	Sareales	Savoryellales	Sclerococcales	Sebacinales	Septobasidiales	Sistotremastrales	Sordariales	Spiculogloeales	Spizellomycetales	Sporidesmiales	Sporidiobolales	Taphrinales	Teloschistales	Thelebolales	Thelephorales	Trechisporales	Tremellales	Tremellodendropsidales	Trichosphaeriales	Trichosporonales	Tubeufiales	Umbelopsidales	Urocystidales	Ustilaginales	Valsariales	Venturiales	Verrucariales	Wallemiales	Xylariales	0	Cystobasidiomycetes_ord_Incertae_sedis	Dothideomycetes_ord_Incertae_sedis	Entomophthorales	Gigasporales	Heterogastridiales	Holtermanniales	Kickxellales	Kriegeriales	Lecanoromycetes_ord_Incertae_sedis	Microbotryomycetes_ord_Incertae_sedis	Mucoromycotina_ord_Incertae_sedis	Mytilinidales	Olpidiales	Pezizomycotina_ord_Incertae_sedis	Rozellomycotina_ord_Incertae_sedis	Trapeliales	Unassigned	Zoopagales	Agaricomycetes	Ascomycota	Dothideomycetes	Dothideomycetidae	Eurotiomycetes	Hypocreomycetidae	Leotiales	Leotiomycetes	Mycocaliciales	Ophiostomatales	Pezizomycotina	Phyllachorales	Sordariomycetes	Sordariomycetidae	OnygeUnassignedles	PezizomycotiUnassigned_ord_Incertae_sedis	Sanchytriales	Togniniales	unidentified
Algae_AMBR-A	0	0	0.009929144	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005127727	0	0	0	0	0	0	0	0	0	0	0.0008856983	0.0002330785	0.0001398471	0.04983218	0	0	0.0001398471	0	0	0	0	0.0002796942	0	0	0	0	0	0	0	0	0	0.1335074	0.003869103	0	4.66157e-05	0	0	0	0	0	0	0.001398471	0.00130524	0	0	0	0.06987693	0	0.009835913	0.0269904904	0	0	0	0	0	0	0	0	4.66157e-05	0	0.0001398471	0	0	0	0	0.002563864	0	0	0	0	0.00335633	0	0	0	4.66157e-05	0	0	0	0	0	0	4.66157e-05	0	0	0	0	0	0	0.1032072	0	0	0	4.66157e-05	0	0	4.66157e-05	0.0002330785	0	0	0	0	0	0	0	0.01165393	0	0	0	0	0	0	0	0	0	9.32314e-05	0	0	0.0003729256	0	0	0	4.66157e-05	0	0	0	0	0.01160731	0	0	0	0	0	0	4.66157e-05	0.0004195413	0	0	0	0	0	9.32314e-05	0	0	0	0.5571508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Algae_ANGE-A	0	0	0.02120116	3.617945e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000723589	0	0	0	0	0	0	0	0	0	0	0.0005426918	0.004739508	0.000723589	0.0447178	0	0	0.0007597685	0	0	0	0	0	0.0001085384	0	0	0	3.617945e-05	0	0	0	0	0	0.001266281	0	0.0001808973	0	0	0	0	0	0	0.001664255	0.004269175	0	0	0	0.03162084	0	0	0.1950795948	0	0	0	0	0	0	0	0	0.0006512301	0	0.000397974	0	0	0	0	0.002966715	3.617945e-05	0	0	0	0.03657742	0	0	0	0	3.617945e-05	0	0	0	0	0	0.0009044863	0	0	0	0	0	0	0.1290159	0	0	0	0.0008321274	3.617945e-05	0	0.0001808973	0.0004703329	0	0	0	0	0	0	0	0.01432706	0	0	0	0	0	0	0.0003256151	0	0	0.001700434	0	0	0.000397974	0	0	0	0	0	0.0001085384	0	0	0.0392547	0	0	0	0	0	0	7.23589e-05	0.0004341534	0	0	0	0	0	0.0002532562	0	0	0	0.4633502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Algae_ANGE-B	0	0	0.01983865	0	0	0	0	0	0	0	0	0	0	0	0	0	6.612882e-05	0	0	0	0	0	0	0	0	0	0	0	0.000562095	3.306441e-05	0.05280386	0	0	0.0003306441	0	0	0	0	0	3.306441e-05	0	0	0	0	0	0	0	0	9.919323e-05	0.0005951594	0	0.0002975797	0	0	0	0	0	0	0.001752414	0.003604021	0	0	0	0.03689988	0	0	0.1589075519	0	0	0	0	0	0	0	0	6.612882e-05	0	9.919323e-05	0	0	0	0	0.005687078	0	0	0	0	0.05065468	0	0	0	0	0	0	0	0	0	0	0.00112419	0	0	0	0	0	0	0.1847309	0	0	0	0.0002645153	6.612882e-05	0	9.919323e-05	0.0002645153	0	0	0	0	0	0	0	0.01183706	0	0	0	3.306441e-05	0	0	0.0004959661	0	0	0.0004298373	0	0	0.0003306441	0	0	0	0	0	9.919323e-05	0	0	0.02949345	0	0	0	0	0	0	6.612882e-05	0.0008266102	0	0	0.0001983865	0	0	0.0002645153	3.306441e-05	0	0	0.4370123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Algae_AUZE-A	0	0	0.0002304915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.561016e-05	0.0001280508	0.0001024406	0.01446974	0	0	0	0	0	0	0	0	7.683049e-05	0	0	0	0	0	0	5.122032e-05	0	0.001382949	0.02717238	0	0.0001792711	0	0	0	0	0	0	0.005659846	0.000947576	0	0	0	0.0443568	0	0	0.0161856225	0	0	0	0	0	0	0	0	0	0	5.122032e-05	0	0	0	0	0.004456168	0.0001280508	0	0	0	5.122032e-05	0	0	0	0	0	0	0	0	0	0	2.561016e-05	0	0	0	0	0	0	0.1095091	0	0	0	0.0002561016	5.122032e-05	0	0	0.001843932	0	0	0	0	0	0	0	0.001511	0	0	0	0	0	0	0.0001792711	0	0	0.0002817118	0	0	0.000153661	0	0	0	0	0	0	0	0	0.005198863	0	0	0	0	0	0	0	0.0001024406	0	0	0	0	0	0.002279304	0	0	0	0.7629523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Algae_AXLE-A	0	0	0.05700652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002367683	0.0004006848	0.009215751	0	0	3.642589e-05	0	0	0	0	0	3.642589e-05	0	0	7.285178e-05	0	0	0	0	0	3.642589e-05	0.02746512	0	0.0001821295	0	0	0	0	0	0	0.001274906	0.001056351	0	0	0	0.2122901	0	0	0.1039594944	0	0	0	0	0	0	0	0	0	0	0.00185772	0	0	0	0	0.008632936	0.0001457036	0	0	0	0.007103049	0	0	0	3.642589e-05	0	0	0	0	0	0	0.0001092777	0	0	0	0	0	0	0.1215168	0	0	0	0	0	0	7.285178e-05	0.001457036	0	0	0	0	0	0	0	0.01234838	0	0	0	0	0	0	0.0005463884	0	0	0.0008013696	0	0	0.0081594	0	0	0	7.285178e-05	0	3.642589e-05	0	0	0.01183841	0	3.642589e-05	0	0	0	0	0	0.0006192402	0	0	0	0	0	0.005646013	0	0	0	0.4035625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Algae_BACC-A	0	0	0.1209138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007464607	0	0.003861004	0	0	0	0	0	0	0	0	0	0	0	0.0004504505	0	0	0	0	0	0	0.0002252252	0	3.217503e-05	0	0	0	0	0	0	0.02438867	0.0006435006	0	0	0	0.2210103	0	0	0.1261261261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003378378	0	0	0	0	0	0	0	0	0	0	0	0.01914414	0	0	0	0	0	0	0	0	0	0	0.01357786	0	0	0	0.0001608752	0	0	0	0	0	0	0	0	6.435006e-05	0	0	3.217503e-05	0	0	0	0	0	0	0.0001608752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3014157	0	0	0	0	0	0	0	0	0	0	0.001383526	0	0	0	0	0	0	0.1555663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Algae_BAGNB-B	0	0	0.02385821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005453306	0.002363099	0.1253352	0	0	9.088843e-05	0	0	0	0	0	0.0001363327	0	0	0.0002272211	0	0	0	0	0	0.0001817769	0.0004998864	0	0.0006816633	0	0	0	0	0	0	0.003908203	0.0007271075	0	0	0	0.02758464	0	0	0.0124517155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009179732	0.0006816633	0	0	0	0.001226994	0	0	0	4.544422e-05	0	0	0	0	0	0	0.0009543286	0	0	0	0	0	0	0.07084753	0	0	0	0	4.544422e-05	0	0	0.002226767	0	0	0	0	0	0	0	0.003635537	0	0	0	0	0	0	0.0003181095	0	0	0.0009088843	0	0	0.00259032	0	0	0	0	0	0.0001363327	0	0	0.03399227	0	0	0	0	0	0	0	0.0009088843	0	0	0.0004998864	0	0	0	0	0	0	0.6732106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Algae_BANI-A	0	0	0.005486377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001232894	0.006657625	0.1635433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002342498	0.0004931574	0	0.0002465787	0	0	0	0	0	0	0.009863149	0.0001232894	0	0	0	0.02416471	0	0	0.043151276	0	0	0	0	0	0	0	0	6.164468e-05	0	6.164468e-05	0	0	0	0	0.001356183	0.0003698681	0	0	0	0.0009246702	0	0	0	0	0	0	0	0	0	0	6.164468e-05	0	0	0	0	0	0	0.04358279	0	0	0	0	0	0	0	0.0005548021	0	0	0	0	0	0	0	0.002280853	0	6.164468e-05	0	0	0	0	6.164468e-05	0	0	0.0002465787	0	0	0.001109604	0	0	0	0	0	6.164468e-05	0	0	0.02163728	0	0	0	0	0	0	6.164468e-05	0.0002465787	0	0	0.000184934	0	0	0	0	0	0	0.6708791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Algae_BANI-B	0	0	0.07537828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001112595	0.0003894081	0.001279484	0.1446929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002336449	0	0.0003894081	0	0	0	0	0	0	0.01379617	0.0002225189	0	0	0	0.03209835	0	0	0.0437249666	0	0	0	0	0	0	0	0	0	0	0.0006675567	0	0	0	0	0.003226524	0.001223854	0	0	0	0.002447708	0	0	0	0	0	0	0	0	0	0	5.562973e-05	0	0	0	0	0	0	0.08477971	0	0	0	0	0	0	0	0.001279484	0	0	0	0	0	0	0	0.003949711	5.562973e-05	0	0	5.562973e-05	0	0	0.000611927	0	0	0.000611927	0	0	0.004561638	0	0	0	0	0	0	0	0	0.1231086	0	0	0	0	0	5.562973e-05	5.562973e-05	0.0002781486	0	0	0.0001668892	0	0	0	0	0	0	0.458389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Algae_BANI-C	0	0	0.004754986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003081935	0.0006604147	0.0002641659	0.05226082	0	0	4.402765e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007044424	0	0.001408885	0	0	0	0	0	0	0.03147977	0.0007044424	0	0	0	0.09320653	0	0	0.021089244	0	0	0	0	0	0	0	0	0	0	0.0001320829	0	0	0	0	0.01554176	0.0005723594	0	0	0	0.0003522212	0	0	0	4.402765e-05	0	0	0	0	0	0	0.00356624	0	0	0	0	0	0	0.06111038	0	0	0	4.402765e-05	0.0005723594	0	0	0.00449082	0	0	0	0	0	0	0	0.001805134	0	0	0	0	0	0	0.0003522212	0	0	0.00149694	0	0	0.001012636	0	0	0	0	0	4.402765e-05	0	0	0.0199005	0	0	0	0	0	0	0.0001320829	0.0004402765	0	0	0.0002641659	0	0	0	0	0	0	0.6812398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
