Factor	ASV	edge	sig	core_group	Category	Correlation
pH	3ab273eba08d3eb13919f47fb73d7429	-0.465999037	1.58E-10	Rhizobiales	Soil_properties	Negative
Humidity_avg_Week3	56b17ee22867f28d69ceed6536bce3f4	-0.435592606	4.96E-09	Hypocreales	Climatic_conditions	Negative
Wind_high_Week2	56b17ee22867f28d69ceed6536bce3f4	-0.414081147	6.97E-08	Hypocreales	Climatic_conditions	Negative
Manganese	80b5811d1e3410edb41428053b059dee	-0.402127863	2.82E-07	Burkholderiales	Soil_properties	Negative
Humidity_low_Week3	56b17ee22867f28d69ceed6536bce3f4	-0.383901265	1.96E-06	Hypocreales	Climatic_conditions	Negative
Dewpoint_low_Week1	3349f0b50c0cc58aa86de7ced77a9acf	-0.383374432	2.07E-06	Xylariales	Climatic_conditions	Negative
Manganese	0f1fe4841915e065fdc455d8421b77e8	-0.380897272	2.56E-06	Burkholderiales	Soil_properties	Negative
Dewpoint_high_Week1	3349f0b50c0cc58aa86de7ced77a9acf	-0.376234349	3.65E-06	Xylariales	Climatic_conditions	Negative
Calcium	3ab273eba08d3eb13919f47fb73d7429	-0.375973764	3.74E-06	Rhizobiales	Soil_properties	Negative
Dewpoint_low_Week3	56b17ee22867f28d69ceed6536bce3f4	-0.367175875	6.84E-06	Hypocreales	Climatic_conditions	Negative
Plant_cover	d402e600aefa6cb91381ddd70647a4e2	-0.367092757	6.89E-06	Sphingomonadales	Plant_diversity	Negative
Humidity_avg_Week1	56b17ee22867f28d69ceed6536bce3f4	-0.365198302	8.37E-06	Hypocreales	Climatic_conditions	Negative
Dewpoint_high_Week2	0e14b541516926a73cf9a0d757511637	-0.363166989	1.03E-05	Pleosporales	Climatic_conditions	Negative
Pressure_low_Week2	4d97b50e59816436d2b097d387d17d01	-0.353056005	2.79E-05	Pleosporales	Climatic_conditions	Negative
Aluminium	37f8ffec4ea09da652e9db363d8678bd	-0.348474585	4.34E-05	Burkholderiales	Soil_properties	Negative
Temp_low_Week1	c0d80519b1e34920abdaa60fcbec924e	-0.348124297	4.48E-05	Rhizobiales	Climatic_conditions	Negative
Pressure_high_Week2	4d97b50e59816436d2b097d387d17d01	-0.346670796	5.15E-05	Pleosporales	Climatic_conditions	Negative
Humidity_low_Week1	56b17ee22867f28d69ceed6536bce3f4	-0.344813452	6.14E-05	Hypocreales	Climatic_conditions	Negative
Temp_avg_Week2	aae8eb63402e9d7e63bd3c0732e92ddf	-0.343190263	7.15E-05	Sphingomonadales	Climatic_conditions	Negative
