Factor	Core_group_value	edge	sig	Category	Kingdom
Aluminium	Pleosporales_RA	0.069059951	0.011546931	Soil_properties	Fungi
Aluminium	Solirubrobacterales_RA	-0.134519422	0.030901719	Soil_properties	Bacteria
Aluminium	Sphingomonadales_RA	0.085564307	0.014422277	Soil_properties	Bacteria
Calcium	Propionibacteriales_RA	0.155816558	1.15E-05	Soil_properties	Bacteria
Carbon_nitrogen_ratio	Helotiales_RA	0.143962615	0.02159432	Soil_properties	Fungi
Carbon_nitrogen_ratio	Microtrichales_RA	-0.090123572	0.040603137	Soil_properties	Bacteria
Carbon_nitrogen_ratio	Solirubrobacterales_RA	0.033302974	0.001422669	Soil_properties	Bacteria
Dewpoint_avg_Week1	Hypocreales_RA	-0.214266883	0.00017063	Climatic_conditions	Fungi
Dewpoint_avg_Week1	Xylariales_RA	-0.242970743	0.003368533	Climatic_conditions	Fungi
Dewpoint_avg_Week2	Hypocreales_RA	-0.080154341	0.001819633	Climatic_conditions	Fungi
Dewpoint_avg_Week3	Caulobacterales_RA	-0.184535446	5.08E-05	Climatic_conditions	Bacteria
Dewpoint_avg_Week3	Propionibacteriales_RA	-0.182400812	0.000695886	Climatic_conditions	Bacteria
Dewpoint_avg_Week3	Solirubrobacterales_RA	-0.142882799	0.037119162	Climatic_conditions	Bacteria
Dewpoint_avg_Week4	Chaetothyriales_RA	0.020438901	0.043391328	Climatic_conditions	Fungi
Dewpoint_avg_Week4	Hypocreales_RA	-0.065343228	0.028595564	Climatic_conditions	Fungi
Dewpoint_high_Week1	Burkholderiales_RA	0.118687742	0.006309654	Climatic_conditions	Bacteria
Dewpoint_high_Week1	Helotiales_RA	0.063652246	0.023706459	Climatic_conditions	Fungi
Dewpoint_high_Week1	Hypocreales_RA	-0.13301721	0.022732577	Climatic_conditions	Fungi
Dewpoint_high_Week1	Microtrichales_RA	0.108730231	0.007717537	Climatic_conditions	Bacteria
Dewpoint_high_Week1	Xylariales_RA	-0.096718312	0.003838427	Climatic_conditions	Fungi
Dewpoint_high_Week2	Burkholderiales_RA	0.08069301	0.033073162	Climatic_conditions	Bacteria
Dewpoint_high_Week2	Caulobacterales_RA	-0.063525123	0.000154398	Climatic_conditions	Bacteria
Dewpoint_high_Week3	Caulobacterales_RA	-0.191252	5.06E-05	Climatic_conditions	Bacteria
Dewpoint_high_Week3	Propionibacteriales_RA	-0.115850636	0.006408088	Climatic_conditions	Bacteria
Dewpoint_low_Week1	Burkholderiales_RA	0.118485607	0.012323659	Climatic_conditions	Bacteria
Dewpoint_low_Week1	Helotiales_RA	0.076624669	0.012239873	Climatic_conditions	Fungi
Dewpoint_low_Week1	Hypocreales_RA	-0.209616675	8.27E-05	Climatic_conditions	Fungi
Dewpoint_low_Week1	Microtrichales_RA	0.085622771	0.025298594	Climatic_conditions	Bacteria
Dewpoint_low_Week1	Xylariales_RA	-0.169693692	0.006821424	Climatic_conditions	Fungi
Dewpoint_low_Week2	Caulobacterales_RA	0.071765388	0.001970368	Climatic_conditions	Bacteria
Dewpoint_low_Week2	Hypocreales_RA	-0.099330946	0.01144898	Climatic_conditions	Fungi
Dewpoint_low_Week3	Caulobacterales_RA	-0.195977857	3.03E-05	Climatic_conditions	Bacteria
Dewpoint_low_Week3	Propionibacteriales_RA	-0.17423069	0.000646419	Climatic_conditions	Bacteria
Humidity_avg_Week1	Propionibacteriales_RA	-0.113687028	0.020525504	Climatic_conditions	Bacteria
Humidity_avg_Week1	Solirubrobacterales_RA	-0.135231441	0.006836873	Climatic_conditions	Bacteria
Humidity_avg_Week2	Hypocreales_RA	-0.10506114	0.011612947	Climatic_conditions	Fungi
Humidity_avg_Week2	Solirubrobacterales_RA	0.218277212	9.58E-05	Climatic_conditions	Bacteria
Humidity_avg_Week3	Caulobacterales_RA	-0.18191606	0.001942286	Climatic_conditions	Bacteria
Humidity_avg_Week3	Propionibacteriales_RA	-0.139762596	0.002593175	Climatic_conditions	Bacteria
Humidity_high_Week1	Caulobacterales_RA	-0.171675193	0.014262569	Climatic_conditions	Bacteria
Humidity_high_Week2	Hypocreales_RA	-0.075643062	0.00710716	Climatic_conditions	Fungi
Humidity_high_Week3	Pleosporales_RA	-0.111032642	0.0250021	Climatic_conditions	Fungi
Humidity_low_Week1	Caulobacterales_RA	-0.172462794	0.007590449	Climatic_conditions	Bacteria
Humidity_low_Week1	Propionibacteriales_RA	-0.056751214	0.032228218	Climatic_conditions	Bacteria
Humidity_low_Week1	Solirubrobacterales_RA	-0.184696695	0.006273758	Climatic_conditions	Bacteria
Humidity_low_Week2	Hypocreales_RA	-0.060324515	0.003941573	Climatic_conditions	Fungi
Humidity_low_Week2	Solirubrobacterales_RA	0.162508858	0.007423925	Climatic_conditions	Bacteria
Humidity_low_Week3	Caulobacterales_RA	-0.223191185	0.002741177	Climatic_conditions	Bacteria
Humidity_low_Week3	Propionibacteriales_RA	-0.042798745	0.033113693	Climatic_conditions	Bacteria
