"node1"	"node2"	"edge"	"sig"
"1"	"Aluminium"	"Aluminium"	1	0
"3"	"Aluminium"	"Calcium"	-0.249387555257699	0.00156093524484433
"7"	"Aluminium"	"Dewpoint_avg_Week1"	-0.0275982226135553	0.0328068329042619
"9"	"Aluminium"	"Dewpoint_avg_Week3"	-0.175958381332587	0.045386497065414
"13"	"Aluminium"	"Dewpoint_high_Week3"	-0.205084753315789	0.00129319913132986
"17"	"Aluminium"	"Dewpoint_low_Week3"	-0.188395266507079	0.0293572150468018
"20"	"Aluminium"	"Humidity_avg_Week1"	-0.0775602697008664	0.0294063973448704
"23"	"Aluminium"	"Humidity_avg_Week4"	0.174796349474887	0.00250472514725131
"25"	"Aluminium"	"Humidity_high_Week2"	0.253645807882454	0.0221626966529538
"33"	"Aluminium"	"Iron"	0.749901493395357	2.71134871980982e-14
"35"	"Aluminium"	"Manganese"	0.362773538812289	1.26244863042312e-17
"36"	"Aluminium"	"Microtrichales"	0.0152906879462401	0.0369507110338292
"38"	"Aluminium"	"PCoA1_plant_communities"	-0.034226482087826	0.0433263528185166
"39"	"Aluminium"	"PCoA2_plant_communities"	0.117449967044325	0.0375750092190329
"41"	"Aluminium"	"pH"	-0.366199405501057	2.04617555620376e-24
"43"	"Aluminium"	"Plant_cover"	-0.009837836306992	0.0221512557812375
"46"	"Aluminium"	"Precipitation"	-0.0931218158813887	0.0196438053225628
"64"	"Aluminium"	"Sphingomonadales"	-0.298859934783584	0.00262718264316533
"66"	"Aluminium"	"Temp_avg_Week2"	-0.260634093041729	0.0232115794803931
"67"	"Aluminium"	"Temp_avg_Week3"	-0.277279460889637	0.00814832894292
"68"	"Aluminium"	"Temp_avg_Week4"	0.0330090321321546	0.0136316138795567
"70"	"Aluminium"	"Temp_high_Week2"	-0.197563657472577	0.0303034195343231
"71"	"Aluminium"	"Temp_high_Week3"	-0.225860746054624	0.000342619279989334
"74"	"Aluminium"	"Temp_low_Week2"	-0.266977047663689	0.00889858461324283
"75"	"Aluminium"	"Temp_low_Week3"	-0.291829810269632	0.000188775715945497
"77"	"Aluminium"	"Total_nitrogen"	-0.0286019083012651	0.0130868511628659
"79"	"Aluminium"	"Wind_high_Week1"	-0.102439410224819	0.0385889980931201
"87"	"Aluminium"	"Windgust_Week1"	-0.0165970417870841	0.028812448620268
"93"	"Burkholderiales"	"Burkholderiales"	1	0
"97"	"Burkholderiales"	"Chaetothyriales"	-0.0583449196470795	0.0207193867329566
"98"	"Burkholderiales"	"Dewpoint_avg_Week1"	0.124866757600782	0.00830189707626883
"99"	"Burkholderiales"	"Dewpoint_avg_Week2"	0.351718515271682	4.75592452761854e-06
"100"	"Burkholderiales"	"Dewpoint_avg_Week3"	-0.136457175633462	0.0333113304692559
"101"	"Burkholderiales"	"Dewpoint_avg_Week4"	0.312764729241365	6.01334591229259e-06
"102"	"Burkholderiales"	"Dewpoint_high_Week1"	0.266529661952325	3.50693466939057e-05
"103"	"Burkholderiales"	"Dewpoint_high_Week2"	0.150944218714632	0.00520690697196802
"104"	"Burkholderiales"	"Dewpoint_high_Week3"	-0.25348332497809	0.00210062657289834
"105"	"Burkholderiales"	"Dewpoint_high_Week4"	0.289209837723383	1.8749171101409e-06
"106"	"Burkholderiales"	"Dewpoint_low_Week1"	0.221808078102594	0.000305217078499648
"107"	"Burkholderiales"	"Dewpoint_low_Week2"	0.304837348419118	4.47082021677313e-05
"108"	"Burkholderiales"	"Dewpoint_low_Week3"	-0.231938524245245	0.00105283440626511
"109"	"Burkholderiales"	"Dewpoint_low_Week4"	0.302931745447067	2.78839488113638e-06
"110"	"Burkholderiales"	"Helotiales"	0.217068737652148	0.0273328424788801
"111"	"Burkholderiales"	"Humidity_avg_Week1"	-0.319962242355496	8.33893802193483e-06
"112"	"Burkholderiales"	"Humidity_avg_Week2"	0.304100008840845	9.21796725712562e-07
"113"	"Burkholderiales"	"Humidity_avg_Week3"	-0.172827456022883	0.000285360649279351
"114"	"Burkholderiales"	"Humidity_avg_Week4"	0.142680075984334	0.000194366427540327
"116"	"Burkholderiales"	"Humidity_high_Week2"	0.217603420233116	0.00040222217970739
"118"	"Burkholderiales"	"Humidity_high_Week4"	0.0794050584581108	0.00397904247353307
"119"	"Burkholderiales"	"Humidity_low_Week1"	-0.278322543820501	2.15138800930056e-05
"120"	"Burkholderiales"	"Humidity_low_Week2"	0.261966509971504	6.7011459224889e-06
"121"	"Burkholderiales"	"Humidity_low_Week3"	-0.225851519933418	0.000758354330360249
"122"	"Burkholderiales"	"Humidity_low_Week4"	0.160030706649367	6.68277811753717e-05
"123"	"Burkholderiales"	"Hypocreales"	0.413160092260356	3.36039775266223e-08
"127"	"Burkholderiales"	"Microtrichales"	0.325213434822143	1.48833945494033e-08
"131"	"Burkholderiales"	"PCoA3_plant_communities"	-0.123131464072006	0.00415035001178332
"134"	"Burkholderiales"	"Plant_cover"	0.19091649577916	0.00264099448030123
"135"	"Burkholderiales"	"Pleosporales"	0.239620637530949	0.00271255611085961
"136"	"Burkholderiales"	"Potassium"	-0.103449747767283	0.025204098886697
"137"	"Burkholderiales"	"Precipitation"	-0.219938331663751	7.95186995389097e-05
"138"	"Burkholderiales"	"Precipitation.1"	0.392128136675754	7.5892959617686e-05
"149"	"Burkholderiales"	"Propionibacteriales"	0.427484945044948	1.00431004865759e-15
"150"	"Burkholderiales"	"Rhizobiales"	0.0672430386564735	0.00241396382047087
"154"	"Burkholderiales"	"Solirubrobacterales"	0.307298284571032	0.00807284751262036
"156"	"Burkholderiales"	"Temp_avg_Week1"	0.155357595221644	0.0189539266972014
"157"	"Burkholderiales"	"Temp_avg_Week2"	0.172192749570418	0.0275417425630152
"159"	"Burkholderiales"	"Temp_avg_Week4"	0.20581987570358	0.000789622731917501
"160"	"Burkholderiales"	"Temp_high_Week1"	0.351190544427929	1.37057719675876e-09
"164"	"Burkholderiales"	"Temp_low_Week1"	0.368128511302421	4.48208277297362e-10
"169"	"Burkholderiales"	"WHC"	-0.0685798009204673	0.0228234658329772
"170"	"Burkholderiales"	"Wind_high_Week1"	-0.099117920789019	0.0198638119285103
"171"	"Burkholderiales"	"Wind_high_Week2"	-0.249040466554043	1.91123252133607e-05
"179"	"Burkholderiales"	"Windgust_Week2"	-0.242280634451555	0.000400305077660985
"183"	"Calcium"	"Aluminium"	-0.249387555257699	0.00156093524484433
"185"	"Calcium"	"Calcium"	1	0
"193"	"Calcium"	"Dewpoint_high_Week1"	0.218363220322625	0.000319716964352889
"199"	"Calcium"	"Dewpoint_low_Week3"	0.00328745030511145	0.0358854514024386
"204"	"Calcium"	"Humidity_avg_Week3"	-0.134873612052112	5.38884769494707e-05
"206"	"Calcium"	"Humidity_high_Week1"	-0.175487725573947	0.00234202868478445
"208"	"Calcium"	"Humidity_high_Week3"	-0.175046096550257	0.0204291451394634
"210"	"Calcium"	"Humidity_low_Week1"	-0.0917252725943931	0.019674013687393
"212"	"Calcium"	"Humidity_low_Week3"	-0.14937116223476	4.26211151049961e-05
"216"	"Calcium"	"Magnesium"	0.385794847821589	8.3191300862548e-12
"217"	"Calcium"	"Manganese"	-0.270199368979136	0.0112185679640075
"219"	"Calcium"	"Organic_carbon"	0.495953840908398	4.31141211878767e-16
"221"	"Calcium"	"PCoA2_plant_communities"	0.152213006911229	0.0142257741692627
"222"	"Calcium"	"PCoA3_plant_communities"	0.267715639889154	0.000282521029903995
"223"	"Calcium"	"pH"	0.284570153734994	0.000313158626960283
"224"	"Calcium"	"Phosphore"	0.476128021552704	1.59686647308948e-20
"225"	"Calcium"	"Plant_cover"	-0.287545801107957	2.36643825504503e-06
"227"	"Calcium"	"Potassium"	0.55063016124402	2.58615409327525e-20
