Correlation	core	Category	N	mean	sd	se	Kingdom
Negative	Burkholderiales	Climatic_conditions	149	0.011793033	0.015497514	0.001269606	Bacteria
Negative	Burkholderiales	Plant_diversity	149	0.000446498	0.001735718	0.000142196	Bacteria
Negative	Burkholderiales	Soil_properties	149	0.008587937	0.011735277	0.000961391	Bacteria
Negative	Caulobacterales	Climatic_conditions	149	0.001275718	0.003558101	0.000291491	Bacteria
Negative	Caulobacterales	Plant_diversity	149	0.004823967	0.012644817	0.001035904	Bacteria
Negative	Microtrichales	Climatic_conditions	149	8.69E-05	0.000556894	4.56E-05	Bacteria
Negative	Propionibacteriales	Climatic_conditions	149	0.000292971	0.001348409	0.000110466	Bacteria
Negative	Rhizobiales	Climatic_conditions	149	0.001991775	0.004403604	0.000360757	Bacteria
Negative	Rhizobiales	Soil_properties	149	0.001467258	0.008205401	0.000672213	Bacteria
Negative	Solirubrobacterales	Climatic_conditions	149	0.000334966	0.001079742	8.85E-05	Bacteria
Negative	Sphingomonadales	Climatic_conditions	149	0.01340283	0.019781636	0.001620575	Bacteria
Negative	Sphingomonadales	Plant_diversity	149	0.006211738	0.014920474	0.001222333	Bacteria
Negative	Sphingomonadales	Soil_properties	149	0.016749587	0.023932058	0.001960591	Bacteria
Positive	Burkholderiales	Climatic_conditions	149	0.065436994	0.049394474	0.004046553	Bacteria
Positive	Burkholderiales	Soil_properties	149	0.013218486	0.014574252	0.001193969	Bacteria
Positive	Caulobacterales	Climatic_conditions	149	0.005412507	0.011749722	0.000962575	Bacteria
Positive	Caulobacterales	Soil_properties	149	0.007560853	0.016725273	0.001370188	Bacteria
Positive	Microtrichales	Climatic_conditions	149	0.001653405	0.002233373	0.000182965	Bacteria
Positive	Microtrichales	Soil_properties	149	0.000233394	0.000820795	6.72E-05	Bacteria
Positive	Propionibacteriales	Climatic_conditions	149	0.009125347	0.010163093	0.000832593	Bacteria
Positive	Propionibacteriales	Soil_properties	149	0.002821947	0.00609294	0.000499153	Bacteria
Positive	Rhizobiales	Climatic_conditions	149	0.01479731	0.020185848	0.001653689	Bacteria
Positive	Rhizobiales	Soil_properties	149	0.01324762	0.021009672	0.001721179	Bacteria
Positive	Solirubrobacterales	Climatic_conditions	149	0.000660332	0.00242707	0.000198833	Bacteria
Positive	Solirubrobacterales	Plant_diversity	149	0.00051698	0.002051435	0.00016806	Bacteria
Positive	Sphingomonadales	Climatic_conditions	149	0.055508283	0.049412001	0.004047989	Bacteria
Positive	Sphingomonadales	Plant_diversity	149	0.019886194	0.037303226	0.003055999	Bacteria
Positive	Sphingomonadales	Soil_properties	149	0.035954527	0.056488911	0.004627752	Bacteria
Negative	Chaetothyriales	Climatic_conditions	147	0.000601489	0.004578502	0.000377628	Fungi
Negative	Chaetothyriales	Plant_diversity	147	0.001545349	0.006680866	0.000551029	Fungi
Negative	Chaetothyriales	Soil_properties	147	0.018602358	0.037231933	0.003070838	Fungi
Negative	Helotiales	Climatic_conditions	147	0.003776838	0.020937646	0.001726908	Fungi
Negative	Helotiales	Soil_properties	147	0.007715995	0.036556368	0.003015118	Fungi
Negative	Hypocreales	Climatic_conditions	147	0.024540484	0.064595571	0.005327753	Fungi
Negative	Hypocreales	Plant_diversity	147	0.00143602	0.006060732	0.000499881	Fungi
Negative	Pleosporales	Climatic_conditions	147	0.005184057	0.019036362	0.001570093	Fungi
Negative	Pleosporales	Plant_diversity	147	0.001012906	0.005712874	0.00047119	Fungi
Negative	Pleosporales	Soil_properties	147	0.003023293	0.010471575	0.000863681	Fungi
Negative	Xylariales	Climatic_conditions	147	0.004608349	0.014540762	0.001199302	Fungi
Positive	Chaetothyriales	Climatic_conditions	147	0.064549153	0.176880595	0.014588866	Fungi
Positive	Chaetothyriales	Soil_properties	147	0.034894684	0.07465748	0.006157645	Fungi
Positive	Helotiales	Climatic_conditions	147	0.01205712	0.043675783	0.003602318	Fungi
Positive	Helotiales	Plant_diversity	147	0.001804107	0.010205095	0.000841702	Fungi
Positive	Helotiales	Soil_properties	147	0.00285189	0.010923221	0.000900932	Fungi
Positive	Hypocreales	Climatic_conditions	147	0.058946679	0.227084298	0.018729597	Fungi
Positive	Hypocreales	Plant_diversity	147	0.003468825	0.013942277	0.00114994	Fungi
Positive	Hypocreales	Soil_properties	147	0.014569482	0.042670343	0.003519391	Fungi
Positive	Pleosporales	Climatic_conditions	147	0.057309065	0.108180656	0.00892259	Fungi
Positive	Pleosporales	Plant_diversity	147	0.000513387	0.004145746	0.000341935	Fungi
Positive	Pleosporales	Soil_properties	147	0.012857203	0.023553077	0.001942625	Fungi
Positive	Xylariales	Climatic_conditions	147	0.000730012	0.005778476	0.000476601	Fungi
Positive	Xylariales	Soil_properties	147	0.000767248	0.006953366	0.000573504	Fungi
