Correlation	core	Site	Category		correlated	not_correlated	proportion	Kingdom
Negative	Burkholderiales	AMBR-A	Plant_diversity	Burkholderiales_AMBR-A	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	ANGE-A	Plant_diversity	Burkholderiales_ANGE-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	ANGE-B	Plant_diversity	Burkholderiales_ANGE-B	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	AURE-B	Plant_diversity	Burkholderiales_AURE-B	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	AUZE-A	Plant_diversity	Burkholderiales_AUZE-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	AXLE-A	Plant_diversity	Burkholderiales_AXLE-A	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	BACC-A	Plant_diversity	Burkholderiales_BACC-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	BAGNB-B	Plant_diversity	Burkholderiales_BAGNB-B	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	BANI-A	Plant_diversity	Burkholderiales_BANI-A	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	BANI-B	Plant_diversity	Burkholderiales_BANI-B	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	BANI-C	Plant_diversity	Burkholderiales_BANI-C	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	BARA-B	Plant_diversity	Burkholderiales_BARA-B	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	BARA-C	Plant_diversity	Burkholderiales_BARA-C	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	BARC-A	Plant_diversity	Burkholderiales_BARC-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	BARR-A	Plant_diversity	Burkholderiales_BARR-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	BELC-A	Plant_diversity	Burkholderiales_BELC-A	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	BELC-C	Plant_diversity	Burkholderiales_BELC-C	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	BERNA-A	Plant_diversity	Burkholderiales_BERNA-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	BESS-A	Plant_diversity	Burkholderiales_BESS-A	4	9488	0.042158516	Bacteria
Negative	Burkholderiales	BOULO-A	Plant_diversity	Burkholderiales_BOULO-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	BROU-A	Plant_diversity	Burkholderiales_BROU-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	BROU-B	Plant_diversity	Burkholderiales_BROU-B	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	BROU-C	Plant_diversity	Burkholderiales_BROU-C	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	BULA-A	Plant_diversity	Burkholderiales_BULA-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	BULE-A	Plant_diversity	Burkholderiales_BULE-A	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	CAMA-C	Plant_diversity	Burkholderiales_CAMA-C	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	CAMA-D	Plant_diversity	Burkholderiales_CAMA-D	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	CAMA-E	Plant_diversity	Burkholderiales_CAMA-E	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	CAPE-A	Plant_diversity	Burkholderiales_CAPE-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	CARL-A	Plant_diversity	Burkholderiales_CARL-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	CASS-A	Plant_diversity	Burkholderiales_CASS-A	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	CAST-A	Plant_diversity	Burkholderiales_CAST-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	CASTI-A	Plant_diversity	Burkholderiales_CASTI-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	CAZA-A	Plant_diversity	Burkholderiales_CAZA-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	CEPE-A	Plant_diversity	Burkholderiales_CEPE-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	CERN-A	Plant_diversity	Burkholderiales_CERN-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	CHEI-A	Plant_diversity	Burkholderiales_CHEI-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	CIER-A	Plant_diversity	Burkholderiales_CIER-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	CIER-B	Plant_diversity	Burkholderiales_CIER-B	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	CIER-C	Plant_diversity	Burkholderiales_CIER-C	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	CINT-A	Plant_diversity	Burkholderiales_CINT-A	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	CINT-B	Plant_diversity	Burkholderiales_CINT-B	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	CLAR-A	Plant_diversity	Burkholderiales_CLAR-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	CLAR-B	Plant_diversity	Burkholderiales_CLAR-B	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	CLAR-C	Plant_diversity	Burkholderiales_CLAR-C	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	COLO-A	Plant_diversity	Burkholderiales_COLO-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	COLO-B	Plant_diversity	Burkholderiales_COLO-B	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	COLO-C	Plant_diversity	Burkholderiales_COLO-C	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	COMT-A	Plant_diversity	Burkholderiales_COMT-A	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	CRAN-A	Plant_diversity	Burkholderiales_CRAN-A	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	DAMI-A	Plant_diversity	Burkholderiales_DAMI-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	DAMI-B	Plant_diversity	Burkholderiales_DAMI-B	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	DAMI-C	Plant_diversity	Burkholderiales_DAMI-C	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	DECA-A	Plant_diversity	Burkholderiales_DECA-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	DIEU-A	Plant_diversity	Burkholderiales_DIEU-A	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	ESPE-B	Plant_diversity	Burkholderiales_ESPE-B	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	FAYA-A	Plant_diversity	Burkholderiales_FAYA-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	FERR-A	Plant_diversity	Burkholderiales_FERR-A	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	GAIL-A	Plant_diversity	Burkholderiales_GAIL-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	GAIL-B	Plant_diversity	Burkholderiales_GAIL-B	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	GREZ-A	Plant_diversity	Burkholderiales_GREZ-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	JACO-A	Plant_diversity	Burkholderiales_JACO-A	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	JACO-B	Plant_diversity	Burkholderiales_JACO-B	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	JACO-C	Plant_diversity	Burkholderiales_JACO-C	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	JULI-A	Plant_diversity	Burkholderiales_JULI-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	JUZE-A	Plant_diversity	Burkholderiales_JUZE-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	JUZET-A	Plant_diversity	Burkholderiales_JUZET-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	JUZET-B	Plant_diversity	Burkholderiales_JUZET-B	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	JUZET-C	Plant_diversity	Burkholderiales_JUZET-C	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	LABA-A	Plant_diversity	Burkholderiales_LABA-A	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	LABA-B	Plant_diversity	Burkholderiales_LABA-B	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	LABA-C	Plant_diversity	Burkholderiales_LABA-C	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	LABAS-A	Plant_diversity	Burkholderiales_LABAS-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	LABAS-B	Plant_diversity	Burkholderiales_LABAS-B	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	LABR-A	Plant_diversity	Burkholderiales_LABR-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	LACR-A	Plant_diversity	Burkholderiales_LACR-A	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	LACR-C	Plant_diversity	Burkholderiales_LACR-C	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	LAGR-A	Plant_diversity	Burkholderiales_LAGR-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	LAMA-A	Plant_diversity	Burkholderiales_LAMA-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	LAMA-B	Plant_diversity	Burkholderiales_LAMA-B	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	LANT-B	Plant_diversity	Burkholderiales_LANT-B	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	LANT-C	Plant_diversity	Burkholderiales_LANT-C	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	LANT-D	Plant_diversity	Burkholderiales_LANT-D	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	LAUZ-A	Plant_diversity	Burkholderiales_LAUZ-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	LECT-A	Plant_diversity	Burkholderiales_LECT-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	LECT-B	Plant_diversity	Burkholderiales_LECT-B	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	LESP-A	Plant_diversity	Burkholderiales_LESP-A	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	LOUB-A	Plant_diversity	Burkholderiales_LOUB-A	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	LOUB-B	Plant_diversity	Burkholderiales_LOUB-B	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	LUNA-A	Plant_diversity	Burkholderiales_LUNA-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	LUZE-A	Plant_diversity	Burkholderiales_LUZE-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	LUZE-B	Plant_diversity	Burkholderiales_LUZE-B	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	LUZE-D	Plant_diversity	Burkholderiales_LUZE-D	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	LUZE-E	Plant_diversity	Burkholderiales_LUZE-E	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	MARS-A	Plant_diversity	Burkholderiales_MARS-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	MARS-B	Plant_diversity	Burkholderiales_MARS-B	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	MASS-A	Plant_diversity	Burkholderiales_MASS-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	MEDA-A	Plant_diversity	Burkholderiales_MEDA-A	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	MERE-A	Plant_diversity	Burkholderiales_MERE-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	MERE-B	Plant_diversity	Burkholderiales_MERE-B	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	MERV-A	Plant_diversity	Burkholderiales_MERV-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	MONB-A	Plant_diversity	Burkholderiales_MONB-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	MONE-A	Plant_diversity	Burkholderiales_MONE-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	MONF-A	Plant_diversity	Burkholderiales_MONF-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	MONT-A	Plant_diversity	Burkholderiales_MONT-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	MONT-B	Plant_diversity	Burkholderiales_MONT-B	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	MONTB-A	Plant_diversity	Burkholderiales_MONTB-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	MONTG-B	Plant_diversity	Burkholderiales_MONTG-B	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	MONTI-A	Plant_diversity	Burkholderiales_MONTI-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	MONTI-B	Plant_diversity	Burkholderiales_MONTI-B	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	MONTM-A	Plant_diversity	Burkholderiales_MONTM-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	MONTM-B	Plant_diversity	Burkholderiales_MONTM-B	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	MULE-A	Plant_diversity	Burkholderiales_MULE-A	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	NAUV-A	Plant_diversity	Burkholderiales_NAUV-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	NAUV-B	Plant_diversity	Burkholderiales_NAUV-B	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	NAUV-C	Plant_diversity	Burkholderiales_NAUV-C	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	NAYR-A	Plant_diversity	Burkholderiales_NAYR-A	2	4744	0.042158516	Bacteria
Negative	Burkholderiales	NAZA-A	Plant_diversity	Burkholderiales_NAZA-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	PAMP-A	Plant_diversity	Burkholderiales_PAMP-A	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	PAMP-B	Plant_diversity	Burkholderiales_PAMP-B	3	7116	0.042158516	Bacteria
Negative	Burkholderiales	PASD-B	Plant_diversity	Burkholderiales_PASD-B	1	2372	0.042158516	Bacteria
Negative	Burkholderiales	PREI-A	Plant_diversity	Burkholderiales_PREI-A	3	7116	0.042158516	Bacteria
