Algal_class	Factor	edge	sig	Category
Chlorokybophyceae	Wind_high_Week3	-0.027125426	0.039733607	Climatic_conditions
Chlorophyceae	Calcium	-0.209815053	0.000156622	Soil_properties
Chlorophyceae	Dewpoint_avg_Week2	0.027208563	0.033427783	Climatic_conditions
Chlorophyceae	Humidity_avg_Week2	0.119098511	0.00016731	Climatic_conditions
Chlorophyceae	Humidity_high_Week1	0.036482452	0.017191497	Climatic_conditions
Chlorophyceae	Humidity_low_Week2	0.094785823	0.003142859	Climatic_conditions
Chlorophyceae	Organic_carbon	-0.044471381	0.004103236	Soil_properties
Chlorophyceae	Plant_cover	0.16110579	0.000128393	Plant_diversity
Klebsormidiophyceae	Organic_carbon	-0.013796746	0.015153153	Soil_properties
Trebouxiophyceae	Organic_carbon	-0.105084715	0.000475766	Soil_properties
Ulvophyceae	Organic_carbon	0.000586665	0.033345597	Soil_properties
Chlorophyceae	Temp_high_Week2	-0.224012776	8.36E-05	Climatic_conditions
Chlorophyceae	Total_nitrogen	0.007236941	0.004915671	Soil_properties
Chlorophyceae	Wind_high_Week1	0.028190161	0.001643998	Climatic_conditions
Chlorophyceae	Wind_high_Week3	-0.060456705	0.001661826	Climatic_conditions
Chlorophyceae	Wind_high_Week4	-0.057163306	0.000110628	Climatic_conditions
Chlorophyceae	Wind_low_Week1	0.002053715	0.000265151	Climatic_conditions
Chlorophyceae	Wind_low_Week2	0.202410684	9.33E-08	Climatic_conditions
Chlorophyceae	Wind_low_Week3	0.178427464	1.15E-06	Climatic_conditions
Chlorophyceae	Wind_low_Week4	0.144491679	0.000117692	Climatic_conditions
Chlorophyceae	Windgust_Week4	-0.052683598	0.029677403	Climatic_conditions
Klebsormidiophyceae	Calcium	-0.189478004	0.000324137	Soil_properties
Klebsormidiophyceae	Dewpoint_avg_Week1	-0.099027486	4.41E-05	Climatic_conditions
Klebsormidiophyceae	Dewpoint_avg_Week3	0.056543924	0.022265912	Climatic_conditions
Klebsormidiophyceae	Dewpoint_avg_Week4	-0.063279712	0.001690574	Climatic_conditions
Klebsormidiophyceae	Dewpoint_high_Week1	-0.157075531	0.000176632	Climatic_conditions
Klebsormidiophyceae	Dewpoint_high_Week4	-0.136977539	0.003753263	Climatic_conditions
Klebsormidiophyceae	Dewpoint_low_Week1	-0.136897725	0.000132898	Climatic_conditions
Klebsormidiophyceae	Dewpoint_low_Week4	-0.082979511	0.003851379	Climatic_conditions
Klebsormidiophyceae	Humidity_avg_Week1	0.091171296	0.005798323	Climatic_conditions
Klebsormidiophyceae	Humidity_avg_Week2	-0.262532788	0.002558659	Climatic_conditions
Klebsormidiophyceae	Humidity_low_Week3	0.257662805	0.016404146	Climatic_conditions
Klebsormidiophyceae	Magnesium	-0.043159284	0.005706973	Soil_properties
Klebsormidiophyceae	PCoA1_plant_communities	0.124878891	1.27E-06	Plant_diversity
Trebouxiophyceae	PCoA1_plant_communities	0.009480948	0.002686984	Plant_diversity
Ulvophyceae	PCoA1_plant_communities	-0.159472724	2.60E-10	Plant_diversity
Klebsormidiophyceae	pH	-0.110520664	0.004370588	Soil_properties
Klebsormidiophyceae	Phosphore	-0.116139171	0.020525568	Soil_properties
Klebsormidiophyceae	Plant_cover	-0.078983314	0.019643611	Plant_diversity
Klebsormidiophyceae	Potassium	-0.066962102	0.010575046	Soil_properties
Zygnematophyceae	PCoA1_plant_communities	0.013386265	0.033812978	Plant_diversity
Ulvophyceae	PCoA2_plant_communities	0.120378683	0.009122466	Plant_diversity
Zygnematophyceae	PCoA2_plant_communities	-0.142077509	3.20E-06	Plant_diversity
Klebsormidiophyceae	Temp_avg_Week1	-0.155281465	0.034192906	Climatic_conditions
Klebsormidiophyceae	Temp_avg_Week3	0.002406821	0.020311987	Climatic_conditions
Klebsormidiophyceae	Temp_avg_Week4	-0.074549996	0.003100449	Climatic_conditions
Klebsormidiophyceae	Temp_high_Week1	-0.122153702	1.05E-05	Climatic_conditions
Klebsormidiophyceae	Temp_high_Week2	0.056293748	4.45E-06	Climatic_conditions
Klebsormidiophyceae	Temp_high_Week4	-0.099456914	0.000312983	Climatic_conditions
Klebsormidiophyceae	Temp_low_Week1	-0.216495766	0.003903297	Climatic_conditions
Klebsormidiophyceae	Temp_low_Week4	-0.056297937	0.000783174	Climatic_conditions
Klebsormidiophyceae	Total_nitrogen	-0.02769702	0.006145062	Soil_properties
Klebsormidiophyceae	WHC	-0.072487809	0.000157837	Soil_properties
Klebsormidiophyceae	Wind_high_Week1	-0.191111328	0.004910813	Climatic_conditions
Klebsormidiophyceae	Wind_high_Week2	0.012948462	0.03999695	Climatic_conditions
Klebsormidiophyceae	Wind_high_Week3	-0.097669642	5.12E-06	Climatic_conditions
Klebsormidiophyceae	Windgust_Week1	-0.141047362	0.005913075	Climatic_conditions
Klebsormidiophyceae	Windgust_Week2	0.009415238	0.028098636	Climatic_conditions
Klebsormidiophyceae	Windgust_Week3	-0.084782424	4.17E-05	Climatic_conditions
Klebsormidiophyceae	Windgust_Week4	-0.150295464	0.00867585	Climatic_conditions
Trebouxiophyceae	Dewpoint_avg_Week1	0.027987108	0.004385346	Climatic_conditions
Trebouxiophyceae	Dewpoint_avg_Week2	0.184454962	1.09E-06	Climatic_conditions
Trebouxiophyceae	Dewpoint_high_Week1	0.049222434	0.011300766	Climatic_conditions
Trebouxiophyceae	Dewpoint_high_Week2	0.055182874	0.003646083	Climatic_conditions
Trebouxiophyceae	Dewpoint_low_Week1	0.105126956	0.000213	Climatic_conditions
Trebouxiophyceae	Dewpoint_low_Week2	0.124437719	2.79E-05	Climatic_conditions
Trebouxiophyceae	Humidity_avg_Week2	0.111734813	0.001143898	Climatic_conditions
Trebouxiophyceae	Humidity_avg_Week3	-0.019902154	0.000351735	Climatic_conditions
Trebouxiophyceae	Humidity_high_Week1	-0.127697624	0.000670118	Climatic_conditions
Trebouxiophyceae	Humidity_high_Week3	-0.121225291	8.42E-06	Climatic_conditions
Trebouxiophyceae	Humidity_high_Week4	-0.068927869	0.000899364	Climatic_conditions
Trebouxiophyceae	Humidity_low_Week1	0.002253012	0.020743454	Climatic_conditions
Trebouxiophyceae	Humidity_low_Week2	0.119909268	0.002031196	Climatic_conditions
Trebouxiophyceae	Humidity_low_Week3	-0.102900893	7.37E-09	Climatic_conditions
Trebouxiophyceae	Iron	-0.178352257	0.0002385	Soil_properties
Trebouxiophyceae	Manganese	-0.019909635	0.003819668	Soil_properties
Klebsormidiophyceae	PCoA3_plant_communities	0.076412079	0.000733762	Plant_diversity
Klebsormidiophyceae	Precipitation_Week1	0.164617067	1.62E-07	Climatic_conditions
Trebouxiophyceae	pH	-0.06755443	0.036729383	Soil_properties
Zygnematophyceae	Precipitation_Week1	0.119029302	0.032666612	Climatic_conditions
Chlorophyceae	Precipitation_Week3	-0.072288065	0.008396282	Climatic_conditions
Trebouxiophyceae	Temp_avg_Week1	0.127365885	6.24E-08	Climatic_conditions
Trebouxiophyceae	Temp_avg_Week2	0.121420784	0.000246798	Climatic_conditions
Trebouxiophyceae	Temp_high_Week1	0.075907124	0.008984111	Climatic_conditions
Trebouxiophyceae	Temp_high_Week3	0.078888923	0.000116416	Climatic_conditions
Trebouxiophyceae	Temp_low_Week1	0.084941355	3.82E-05	Climatic_conditions
Trebouxiophyceae	Temp_low_Week3	0.128273429	0.00015784	Climatic_conditions
Trebouxiophyceae	Total_nitrogen	-0.079360317	0.006587705	Soil_properties
Trebouxiophyceae	Wind_high_Week3	0.071755565	0.004696117	Climatic_conditions
Trebouxiophyceae	Wind_low_Week2	0.125522615	0.00358854	Climatic_conditions
Trebouxiophyceae	Windgust_Week1	0.113432399	0.007794827	Climatic_conditions
Trebouxiophyceae	Windgust_Week3	0.065697972	0.013361909	Climatic_conditions
Trebouxiophyceae	Windgust_Week4	-0.004948847	0.005709147	Climatic_conditions
Ulvophyceae	Aluminium	-0.052402878	0.013458092	Soil_properties
Ulvophyceae	Dewpoint_avg_Week2	0.096983315	0.00323585	Climatic_conditions
