Feature ID	Taxon	Phylum	Algae_group	Class	Order	Family	Genus	Genus_clean	Genus_abundant	species	confidence
00007c680299e50b9e4b60048757eb7c	d__Eukaryota	unassigned	Other eukaryotes						others		
00048aa18c06b57d599b7da2ba776ee9	d__Eukaryota	Chlorophyta	Green algae	Trebouxiophyceae	 o__Trebouxiophyceae	 f__Trebouxiophyceae	 g__Trebouxiophyceae	unassigned	others		
0004d350d4530148316d310cda029c2c	d__Eukaryota	Cercozoa	Other eukaryotes	Imbricatea	 o__Imbricatea	 f__Euglyphida	0.865689244		others		
0007cbe3ce085404b59e1c31ebc103b8	d__Eukaryota	LKM15	Other eukaryotes	LKM15	 o__LKM15	 f__LKM15	 g__LKM15	uncultured	others	eukaryote	0.877380595
000978bed7c7e6869efc1bc53f9cce9f	d__Eukaryota	SAR	Other eukaryotes	Labyrinthulomycetes	 o__Labyrinthulomycetes	 f__Labyrinthulomycetes	 g__Sorodiplophrys	Sorodiplophrys	others	stercorea	0.944928617
000d61f024683135b60f28e294f1c70d	d__Eukaryota	Annelida	Other eukaryotes	Clitellata	 o__Haplotaxida	 f__Haplotaxida	 g__Haplotaxida	Enchytraeus	others	sp.	0.822192139
000e0699a3dea33f02744a8146502490	d__Eukaryota	Basidiomycota	Other eukaryotes	Agaricomycetes	 o__Agaricales	0.904185459			others		
000eb25a1d9cd007e25ade0d0c2b4ff4	d__Eukaryota	Amoebozoa	Other eukaryotes	Discosea	 o__Vannellida	 f__Vannellida	0.999941188		others		
000ff773aa406dcabb0e78e4bd70e56b	d__Eukaryota	Heterolobosea	Other eukaryotes	Tetramitia	 o__Tetramitia	 f__Tetramitia	 g__Vahlkampfia	Vahlkampfia	others	avara	0.999995556
001187c372a887e4a80e88fbc740c030	d__Eukaryota	Ciliophora	Other eukaryotes	Intramacronucleata	 o__Conthreep	 f__Colpodea	0.999999975		others		
0011e442180694e9507f5963b9b29930	d__Eukaryota	Cercozoa	Other eukaryotes	Cercomonadidae	 o__Cercomonadidae	 f__Cercomonadidae	 g__Cercomonadidae	metagenome	others		0.775774087
00123863383e48399bb6bb9862b03633	d__Eukaryota	LKM15	Other eukaryotes	LKM15	 o__LKM15	 f__LKM15	 g__LKM15	uncultured	others	eukaryote	0.891591568
0015fe911ac480bdfb8b7c50917d4ee0	d__Eukaryota	Chytridiomycota	Other eukaryotes	Chytridiomycetes	 o__Rhizophydiales	 f__uncultured	 g__uncultured		others		
001abf1e8b6b2a904d07092ac155619a	d__Eukaryota	unassigned	Other eukaryotes						others		
001d5d539d63cfcfac287b8c9661dcc4	d__Eukaryota	Cercozoa	Other eukaryotes	Cercomonadidae	 o__Cercomonadidae	 f__Cercomonadidae	 g__Cercomonas		others		
001ef1b8d0fa602bb08a499313fc6521	d__Eukaryota	Basidiomycota	Other eukaryotes	Tremellomycetes	 o__Tremellales	 f__Bulleribasidiaceae	 g__Vishniacozyma		others		
001f7be9c959f8572ab8d32247f7b3a6	d__Eukaryota	Ascomycota	Other eukaryotes	Dothideomycetes	0.938430068				others		
002a04c78bf465597e481d6df513582d	d__Eukaryota	Diatomea	Other eukaryotes	Bacillariophyceae	 o__Bacillariophyceae	 f__Bacillariophyceae	 g__Pinnularia		others		
002df7bac35877deb49ef070ca50cc57	d__Eukaryota	Cercozoa	Other eukaryotes	unassigned					others		
003a2f8d8b5e6e7e039ae7f68424a3c5	d__Eukaryota	Ascomycota	Other eukaryotes	Dothideomycetes	 o__Pleosporales	 f__Didymellaceae	0.962729397		others		
003bec1e2b56cdc3f29c28af0cffaa76	d__Eukaryota	Mucoromycota	Other eukaryotes	Glomeromycetes	 o__Diversisporales	 f__Diversisporaceae	 g__Diversispora	Diversispora	others	eburnea	0.999962128
