"node1"	"node2"	"edge"	"sig"
"1"	"Aluminium"	"Aluminium"	1	0
"2"	"Aluminium"	"Calcium"	-0.244198534678012	0.000591252663388302
"4"	"Aluminium"	"Dewpoint_avg_Week1"	-0.0597367784590031	0.0228181620065348
"10"	"Aluminium"	"Dewpoint_high_Week3"	-0.189449429956765	0.00234352062308881
"14"	"Aluminium"	"Dewpoint_low_Week3"	-0.167439843084382	0.0437470392565573
"19"	"Aluminium"	"Humidity_avg_Week4"	0.147106020526994	0.00155918893574222
"21"	"Aluminium"	"Humidity_high_Week2"	0.206592600809015	0.0242210649779216
"25"	"Aluminium"	"Humidity_low_Week2"	0.122105908519966	0.0408907917703966
"27"	"Aluminium"	"Humidity_low_Week4"	0.160538699375328	0.041060240909912
"28"	"Aluminium"	"Iron"	0.766537025815591	5.02406856404427e-15
"30"	"Aluminium"	"Manganese"	0.372446531959212	1.79520200209049e-18
"35"	"Aluminium"	"pH"	-0.362603447961958	3.71510908542043e-26
"37"	"Aluminium"	"Plant_cover"	-0.00317286612309056	0.00975179044513757
"39"	"Aluminium"	"Precipitation"	-0.0542351356177144	0.0209678695949022
"55"	"Aluminium"	"Temp_avg_Week2"	-0.249441879770994	0.0222327668813742
"56"	"Aluminium"	"Temp_avg_Week3"	-0.237296039292263	0.0129007714811197
"57"	"Aluminium"	"Temp_avg_Week4"	0.0516533389855659	0.00843738229005562
"59"	"Aluminium"	"Temp_high_Week2"	-0.190087343531711	0.030828263144853
"60"	"Aluminium"	"Temp_high_Week3"	-0.195238520006719	0.000935573176997813
"63"	"Aluminium"	"Temp_low_Week2"	-0.266796655171786	0.00854451170562932
"64"	"Aluminium"	"Temp_low_Week3"	-0.259054637969766	0.000378799378261315
"67"	"Aluminium"	"Total_nitrogen"	0.0254666609053323	0.0135648825584127
"81"	"Calcium"	"Aluminium"	-0.244198534678012	0.000591252663388302
"82"	"Calcium"	"Calcium"	1	0
"88"	"Calcium"	"Dewpoint_high_Week1"	0.182293269732298	0.000182992787452935
"92"	"Calcium"	"Dewpoint_low_Week1"	0.127683697815277	0.0334026619410789
"94"	"Calcium"	"Dewpoint_low_Week3"	-0.077185208939839	0.031739125698988
"98"	"Calcium"	"Humidity_avg_Week3"	-0.194417992383049	8.12549242477283e-06
"100"	"Calcium"	"Humidity_high_Week1"	-0.171643487165035	0.0007998827719698
"102"	"Calcium"	"Humidity_high_Week3"	-0.162459471154	0.0067976911706676
"104"	"Calcium"	"Humidity_low_Week1"	-0.142410097049659	0.0131851076715364
"106"	"Calcium"	"Humidity_low_Week3"	-0.206711109876552	4.54856391476597e-06
"109"	"Calcium"	"Magnesium"	0.383245564531943	4.7905069238323e-13
"110"	"Calcium"	"Manganese"	-0.257588091799075	0.00857110176413188
"111"	"Calcium"	"Organic_carbon"	0.481526253192367	5.29304978755149e-18
"113"	"Calcium"	"PCoA2_plant_communities"	0.177830927363163	0.0107267246528244
"114"	"Calcium"	"PCoA3_plant_communities"	0.215189764336814	0.00012754531538126
"115"	"Calcium"	"pH"	0.268539005694948	0.000191773045499641
"116"	"Calcium"	"Phosphore"	0.509817177399872	1.25597560784951e-22
"117"	"Calcium"	"Plant_cover"	-0.275706526545596	3.91970221089132e-07
"118"	"Calcium"	"Potassium"	0.531437784896487	2.25188428886484e-21
"121"	"Calcium"	"Precipitation.2"	-0.156311915576905	0.00352237811979644
"122"	"Calcium"	"Precipitation.3"	0.0918986389138097	0.0259479088423721
"123"	"Calcium"	"Pressure_high_Week1"	-0.033619557480233	0.0285558443432562
"124"	"Calcium"	"Pressure_high_Week2"	-0.0419802073626628	0.00102050891220107
"125"	"Calcium"	"Pressure_high_Week3"	-0.0485222696447062	0.00367535909390622
"126"	"Calcium"	"Pressure_high_Week4"	-0.0662365941542529	0.00609013285255481
"127"	"Calcium"	"Pressure_low_Week1"	-0.030283962362113	0.0148378022996329
"128"	"Calcium"	"Pressure_low_Week2"	-0.0374564929182776	0.00159677479150501
"129"	"Calcium"	"Pressure_low_Week3"	-0.0502171072242016	0.00397810989175821
"130"	"Calcium"	"Pressure_low_Week4"	-0.0719984670530401	0.00310864874182791
"131"	"Calcium"	"Shannon_diversity_plant_communities"	-0.183679256155569	0.0447221616221905
"132"	"Calcium"	"Sodium"	0.306994036881674	0.0151162553082149
"133"	"Calcium"	"Soil_organic_matter"	0.481932154904548	6.11966103991075e-18
"134"	"Calcium"	"Temp_avg_Week1"	0.122404798952392	0.0124801033837407
"138"	"Calcium"	"Temp_high_Week1"	0.181216824992709	0.00526637909895737
"140"	"Calcium"	"Temp_high_Week3"	0.212984930096283	0.000259504039843671
"142"	"Calcium"	"Temp_low_Week1"	0.181997681835503	0.00240403071296722
"146"	"Calcium"	"total_green_algae"	-0.189616809316417	0.00109276535106941
"147"	"Calcium"	"Total_nitrogen"	0.576002481688036	9.56980361528076e-31
"148"	"Calcium"	"WHC"	0.376439508889121	2.96392639545149e-11
"149"	"Calcium"	"Wind_high_Week1"	-0.0963505680024541	0.0151179021867445
"150"	"Calcium"	"Wind_high_Week2"	-0.172438900649137	0.0292908232503086
"152"	"Calcium"	"Wind_high_Week4"	-0.114753390036405	0.00375939299429917
"157"	"Calcium"	"Windgust_Week1"	-0.176158739790919	0.000931722715870728
"158"	"Calcium"	"Windgust_Week2"	-0.130792286841987	0.028473132638749
"159"	"Calcium"	"Windgust_Week3"	-0.136817511750995	0.00927821105433683
"163"	"Carbon_nitrogen_ratio"	"Carbon_nitrogen_ratio"	1	0
"176"	"Carbon_nitrogen_ratio"	"Humidity_avg_Week1"	0.174813311981927	0.00340891175884898
"179"	"Carbon_nitrogen_ratio"	"Humidity_avg_Week4"	-0.154969053186676	0.0181527067404592
"180"	"Carbon_nitrogen_ratio"	"Humidity_high_Week1"	0.133865827133806	0.00346713686863668
"184"	"Carbon_nitrogen_ratio"	"Humidity_low_Week1"	0.145258601304164	0.0029041239266652
"187"	"Carbon_nitrogen_ratio"	"Humidity_low_Week4"	-0.102856315507711	0.0391921870069223
"190"	"Carbon_nitrogen_ratio"	"Manganese"	-0.0010191492890114	0.0423423541441802
"191"	"Carbon_nitrogen_ratio"	"Organic_carbon"	0.502915196767044	2.2074732635798e-09
"195"	"Carbon_nitrogen_ratio"	"pH"	-0.00317555865842993	0.0103823694014272
"199"	"Carbon_nitrogen_ratio"	"Precipitation"	0.170656722600632	0.000304982276940911
"200"	"Carbon_nitrogen_ratio"	"Precipitation.1"	-0.0469199084641176	0.00404514467230221
"213"	"Carbon_nitrogen_ratio"	"Soil_organic_matter"	0.502608437989157	2.23955239919994e-09
"214"	"Carbon_nitrogen_ratio"	"Temp_avg_Week1"	-0.0395435842801839	0.0119718636943463
"218"	"Carbon_nitrogen_ratio"	"Temp_high_Week1"	-0.107054667038465	0.0202176488174445
"222"	"Carbon_nitrogen_ratio"	"Temp_low_Week1"	-0.118697437455425	0.00690126308583287
"228"	"Carbon_nitrogen_ratio"	"WHC"	-0.167621329757723	0.000817007477153807
"229"	"Carbon_nitrogen_ratio"	"Wind_high_Week1"	0.107879450637913	0.00644329972799325
"230"	"Carbon_nitrogen_ratio"	"Wind_high_Week2"	0.123221102696176	0.000271542324359971
"231"	"Carbon_nitrogen_ratio"	"Wind_high_Week3"	0.0501886627183913	0.0420285996950093
"232"	"Carbon_nitrogen_ratio"	"Wind_high_Week4"	-0.00507107415800413	0.0238446482470627
"234"	"Carbon_nitrogen_ratio"	"Wind_low_Week2"	-0.0119385005581086	0.000366957017362909
"235"	"Carbon_nitrogen_ratio"	"Wind_low_Week3"	-0.0600000407466909	0.00675949325604645
"238"	"Carbon_nitrogen_ratio"	"Windgust_Week2"	0.0645090317528034	0.00103214758107968
