population	latitude	longitude	cluster	cluster_reduced
AMBR-A	43.733229	1.823869	1	1
ANGE-A	43.911999	1.656649	1	1
ANGE-B	43.91214	1.656855	1	1
AURE-B	43.477976	1.452214	2	incomplete_data
AUZE-A	43.527792	1.491628	1	1
AXLE-A	42.724197	1.834034	1	1
BACC-A	43.312537	1.512182	no_data	incomplete_data
BAGNB-B	43.076454	0.151533	1	1
BANI-A	43.042867	0.234732	2	2
BANI-B	43.043644	0.234303	2	incomplete_data
BANI-C	43.043644	0.234303	2	2
BARA-B	44.269727	2.426322	1	incomplete_data
BARA-C	44.270842	2.427551	1	1
BARC-A	43.362044	0.387723	1	1
BARR-A	44.202421	1.767492	3	3
BELC-A	44.387532	2.336117	2	2
BELC-C	44.389212	2.336636	2	2
BERNA-A	43.16215	0.111398	1	1
BESS-A	44.526359	2.730092	3	3
BOULO-A	43.28908	0.639795	1	1
BROU-A	43.999349	2.621684	1	1
BROU-B	44.0331	2.6387	no_data	incomplete_data
BROU-C	44.03326	2.638683	2	2
BULA-A	43.039803	0.277297	3	3
BULE-A	42.910978	1.245845	no_data	incomplete_data
CAMA-C	43.824878	2.881661	1	1
CAMA-D	43.823736	2.881003	1	1
CAMA-E	43.8249	2.8817	no_data	incomplete_data
CAPE-A	44.108545	1.990168	4	incomplete_data
CARL-A	43.151102	1.3923	1	1
CASS-A	44.17653	2.518164	2	2
CAST-A	43.698534	1.427856	1	1
CASTI-A	42.920498	1.034063	3	3
CAZA-A	42.8315	0.4201	no_data	incomplete_data
CEPE-A	43.755183	1.435978	1	1
CERN-A	44.01194	2.966488	2	incomplete_data
CHEI-A	43.0137	0.8671	no_data	incomplete_data
CIER-A	42.85332	0.602039	2	2
CIER-B	42.859978	0.600413	2	2
CIER-C	42.860166	0.601088	2	2
CINT-A	43.305466	1.520441	1	1
CINT-B	43.305611	1.520735	4	1
CLAR-A	43.464776	1.219019	1	1
CLAR-B	43.465281	1.218577	4	1
CLAR-C	43.464058	1.21799	3	3
COLO-A	44.346915	2.340243	3	3
COLO-B	44.34773	2.339715	2	2
COLO-C	44.34806	2.339698	2	2
COMT-A	44.540652	2.602245	2	2
CRAN-A	44.529845	2.260486	2	2
DAMI-A	43.654515	1.977636	1	1
DAMI-B	43.654515	1.977636	1	1
DAMI-C	43.654515	1.977636	1	1
DECA-A	44.199896	1.77189	1	1
DIEU-A	44.059797	1.220975	4	1
ESPE-B	43.693335	2.534582	2	2
FAYA-A	43.8021	2.9517	no_data	incomplete_data
FERR-A	43.657743	2.44371	2	incomplete_data
GAIL-A	43.908928	1.900574	1	incomplete_data
GAIL-B	43.909032	1.901077	1	1
GREZ-A	42.8769	0.3497	no_data	incomplete_data
JACO-A	42.905839	1.406513	1	1
JACO-B	42.9058449	1.406662247	no_data	incomplete_data
JACO-C	42.905839	1.406513	1	1
JULI-A	44.5226	2.3635	no_data	incomplete_data
JUZE-A	43.448838	1.79053	no_data	incomplete_data
JUZET-A	42.977713	0.756373	2	incomplete_data
JUZET-B	42.977354	0.755498	2	2
JUZET-C	42.977354	0.755498	3	3
LABA-A	43.45155	1.400498	1	1
LABA-B	43.4509	1.4012	no_data	incomplete_data
LABA-C	43.451451	1.39935	1	1
LABAS-A	43.0084	1.42	no_data	incomplete_data
LABAS-B	43.008716	1.420053	1	1
LABR-A	43.5312	2.2626	no_data	incomplete_data
LACR-A	42.999869	1.075659	3	incomplete_data
LACR-C	43.000155	1.075624	1	1
LAGR-A	43.7953	1.0738	no_data	incomplete_data
LAMA-A	43.487424	1.243559	1	1
LAMA-B	43.4797	1.2416	no_data	incomplete_data
LANT-B	43.564943	1.65239	3	incomplete_data
LANT-C	43.564822	1.65201	1	1
LANT-D	43.564822	1.65201	1	1
LAUZ-A	44.25608	1.140526	1	1
LECT-A	43.911721	0.629745	1	1
LECT-B	43.911721	0.629745	1	incomplete_data
LESP-A	43.094237	1.719981	1	1
LOUB-A	43.574273	1.786038	1	1
LOUB-B	43.574647	1.785723	1	1
LUNA-A	43.339706	0.689839	1	1
LUZE-A	42.764683	1.752959	1	1
LUZE-B	42.7644	1.7536	no_data	incomplete_data
LUZE-D	42.764419	1.753595	1	incomplete_data
LUZE-E	42.764683	1.752959	1	1
MARS-A	43.202147	1.010976	1	incomplete_data
MARS-B	43.662542	0.718265	1	1
MASS-A	43.437536	0.579271	2	2
MEDA-A	43.490485	0.461439	1	1
MERE-A	42.656618	1.836221	4	1
MERE-B	42.656546	1.836175	1	1
MERV-A	43.720426	1.296824	1	1
MONB-A	43.46529	0.986273	2	2
MONE-A	44.115354	2.094725	4	1
MONF-A	43.616254	0.972435	1	1
MONT-A	43.8522	1.8743	no_data	incomplete_data
MONT-B	43.8527	1.8735	no_data	incomplete_data
MONTB-A	43.130495	1.269927	1	incomplete_data
MONTG-B	43.12729	0.110681	1	1
MONTI-A	43.389383	0.67282	1	1
MONTI-B	43.3839336	0.67257	1	incomplete_data
MONTM-A	42.86156	0.595943	2	2
MONTM-B	42.861218	0.596869	2	incomplete_data
MOUL-A	44.089762	2.296094	no_data	incomplete_data
NAUV-A	44.520751	2.427404	2	2
NAUV-B	44.520418	2.427129	2	2
