FeatureID	ECOGEN2025_BC001_F1_18S-R1	ECOGEN2025_BC002_F1_18S-R1	ECOGEN2025_BC003_F1_18S-R1	ECOGEN2025_BC004_F1_18S-R1	ECOGEN2025_BC005_F1_18S-R1	ECOGEN2025_BC006_F1_18S-R1	ECOGEN2025_BC007_F1_18S-R1	ECOGEN2025_BC008_F1_18S-R1	ECOGEN2025_BC010_F1_18S-R1	ECOGEN2025_BC011_F1_18S-R1	ECOGEN2025_BC012_F1_18S-R1	ECOGEN2025_BC014_F1_18S-R1	ECOGEN2025_BC015_F1_18S-R1	ECOGEN2025_BC016_F1_18S-R1	ECOGEN2025_BC017_F1_18S-R1	ECOGEN2025_BC018_F1_18S-R1	ECOGEN2025_BC019_F1_18S-R1	ECOGEN2025_BC020_F1_18S-R1	ECOGEN2025_BC021_F1_18S-R1	ECOGEN2025_BC022_F1_18S-R1	ECOGEN2025_BC023_F1_18S-R1	ECOGEN2025_BC024_F1_18S-R1	ECOGEN2025_BC025_F1_18S-R1	ECOGEN2025_BC026_F1_18S-R1	ECOGEN2025_BC027_F1_18S-R1	ECOGEN2025_BC028_F1_18S-R1_18S-18S	ECOGEN2025_BC028_F1_18S-R1	ECOGEN2025_BC029_F1_18S-R1	ECOGEN2025_BC030_F1_18S-R1	ECOGEN2025_BC031_F1_18S-R1	ECOGEN2025_BC032_F1_18S-R1	ECOGEN2025_BC034_F1_18S-R1	ECOGEN2025_BC035_F1_18S-R1	ECOGEN2025_BC036_F1_18S-R1	ECOGEN2025_BC037_F1_18S-R1	ECOGEN2025_BC038_F1_18S-R1	ECOGEN2025_BC039_F1_18S-R1	ECOGEN2025_BC040_F1_18S-R1	ECOGEN2025_BC041_F1_18S-R1	ECOGEN2025_BC042_F1_18S-R1	ECOGEN2025_BC043_F1_18S-R1	ECOGEN2025_BC045_F1_18S-R1	ECOGEN2025_BC046_F1_18S-R1	ECOGEN2025_BC047_F1_18S-R1	ECOGEN2025_BC048_F1_18S-R1	ECOGEN2025_BC049_F1_18S-R1	ECOGEN2025_BC050_F1_18S-R1	ECOGEN2025_BC051_F1_18S-R1	ECOGEN2025_BC052_F1_18S-R1	ECOGEN2025_BC053_F1_18S-R1	ECOGEN2025_BC054_F1_18S-R1	ECOGEN2025_BC055_F1_18S-R1	ECOGEN2025_BC056_F1_18S-R1	ECOGEN2025_BC057_F1_18S-R1	ECOGEN2025_BC058_F1_18S-R1	ECOGEN2025_BC059_F1_18S-R1	ECOGEN2025_BC060_F1_18S-R1	ECOGEN2025_BC061_F1_18S-R1	ECOGEN2025_BC062_F1_18S-R1	ECOGEN2025_BC063_F1_18S-R1	ECOGEN2025_BC064_F1_18S-R1	ECOGEN2025_BC065_F1_18S-R1	ECOGEN2025_BC066_F1_18S-R1	ECOGEN2025_BC068_F1_18S-R1	ECOGEN2025_BC069_F1_18S-R1	ECOGEN2025_BC070_F1_18S-R1	ECOGEN2025_BC071_F1_18S-R1	ECOGEN2025_BC072_F1_18S-R1	ECOGEN2025_BC073_F1_18S-R1	ECOGEN2025_BC074_F1_18S-R1	ECOGEN2025_BC075_F1_18S-R1	ECOGEN2025_BC076_F1_18S-R1	ECOGEN2025_BC077_F1_18S-R1	ECOGEN2025_BC078_F1_18S-R1	ECOGEN2025_BC079_F1_18S-R1	ECOGEN2025_BC080_F1_18S-R1	ECOGEN2025_BC081_F1_18S-R1	ECOGEN2025_BC082_F1_18S-R1	ECOGEN2025_BC084_F1_18S-R1	ECOGEN2025_BC085_F1_18S-R1	ECOGEN2025_BC086_F1_18S-R1	ECOGEN2025_BC087_F1_18S-R1	ECOGEN2025_BC088_F1_18S-R1	ECOGEN2025_BC089_F1_18S-R1	ECOGEN2025_BC090_F1_18S-R1	ECOGEN2025_BC091_F1_18S-R1	ECOGEN2025_BC092_F1_18S-R1	ECOGEN2025_BC093_F1_18S-R1	ECOGEN2025_BC094_F1_18S-R1	ECOGEN2025_BC095_F1_18S-R1	ECOGEN2025_BC096_F1_18S-R1
f1426db505d5a367ad8aff02b567a3fa	4	0	0	0	0	3	0	14	8	0	0	0	33084	119	62	231	0	0	0	0	0	20	0	14567	0	18744	18744	0	0	0	0	188	0	5	0	0	3	0	0	0	0	3	2	0	0	0	0	0	3	0	3	9	0	0	8	10	4	4	4	10	0	0	63	0	5	0	7	0	0	0	0	0	0	4	7	13	0	13	11	6	9	0	11	6	18	8	9	0	0	10	16
fe2ae0e3acc2445e43535480f07a7478	5	0	6	0	0	3	0	0	8	0	0	0	30	23	0	29530	0	0	0	5	16	20920	0	2006	18	25	25	0	0	13	106	28	0	9	0	0	0	10	5	2	0	0	0	0	6	0	3	0	0	0	2	0	9	0	7	0	0	3	12	14	13	0	0	7	0	0	12	6	0	0	0	0	5	9	10	9	6	12	8	10	0	0	12	6	0	0	0	0	11	0	13
14ec1c99046fe496abbf6031def304f6	0	0	0	0	0	0	6	0	0	4	0	0	4767	5734	372	63	30	86	644	7	49	35	100	340	481	838	838	0	33	161	128	0	7	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
08eca7bd669acac610935c5350467d24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12724	0	0	0	0	0	0	60	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
1790b750f31e7f9617e3659111cc4bb5	0	0	0	0	0	0	0	0	3	0	0	0	5	5	3	0	0	5	0	0	0	11639	0	0	0	8	8	0	0	0	62	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	2
dc56bcfd00332a7f51d10fcbb04e541d	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2650	3013	0	0	0	0	0	2580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f6df0581ddbe04cbc05b1d9662f0647b	0	4	0	0	0	0	0	0	0	0	0	0	0	8113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	5	0	0	0	0	0	0
3c8fe547e130961bd171f708d8302565	0	0	0	0	0	0	0	0	0	0	0	0	0	311	538	129	118	342	2781	0	0	131	918	88	595	85	85	10	410	1375	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	2	0	0	0	0	6	4	0	0	0	7
e1cd56ed80db9fc43e43b08f8c0e8b57	0	0	0	0	0	0	0	0	0	0	0	0	38	6311	383	41	0	46	575	0	22	0	125	37	0	0	0	0	31	78	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6fededa1bd8368fbd8b38913afe8a60c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	458	0	53	0	5087	0	58	0	5	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
