FeatureID	Taxon	Confidence
f1426db505d5a367ad8aff02b567a3fa	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Bryophyta; f__Bryophyta; g__Bryophyta	0.741138117
fe2ae0e3acc2445e43535480f07a7478	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Magnoliophyta; f__Magnoliophyta; g__Magnoliophyta	0.998016484
14ec1c99046fe496abbf6031def304f6	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Bryophyta; f__Bryophyta; g__Bryophyta; s__Pottia_truncata	0.856286409
08eca7bd669acac610935c5350467d24	d__Eukaryota; p__Basidiomycota; c__Agaricomycetes; o__Agaricales	0.940269447
1790b750f31e7f9617e3659111cc4bb5	d__Eukaryota; p__Arthropoda; c__Insecta; o__Hymenoptera; f__Hymenoptera; g__Hymenoptera	0.996844464
dc56bcfd00332a7f51d10fcbb04e541d	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Magnoliophyta; f__Magnoliophyta; g__Magnoliophyta	0.99607139
f6df0581ddbe04cbc05b1d9662f0647b	d__Eukaryota; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Marasmiaceae; g__Campanella; s__Campanella_subdendrophora	0.98037559
3c8fe547e130961bd171f708d8302565	d__Eukaryota; p__Cercozoa; c__Thecofilosea; o__Thecofilosea; f__Thecofilosea; g__Thecofilosea; s__metagenome	0.950581285
e1cd56ed80db9fc43e43b08f8c0e8b57	d__Eukaryota; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Phaeosphaeriaceae; g__Ophiosphaerella; s__Ophiosphaerella_herpotricha	0.987560948
6fededa1bd8368fbd8b38913afe8a60c	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Magnoliophyta; f__Magnoliophyta; g__Magnoliophyta	0.994846413
ad01e7deb76f72888389036367bee041	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Bryophyta; f__Bryophyta; g__Bryophyta	0.781009597
0961f4d95b9865420addca0e758bf6da	d__Eukaryota; p__Basidiomycota; c__Tremellomycetes; o__Filobasidiales; f__Piskurozymaceae; g__Solicoccozyma	0.825714277
