FeatureID	Taxon	Confidence
c6f8754f5881028388714fa91ec9e9c0	k__Fungi	1
6108cdc88401791eb1546cc48eca7bfb	k__Fungi	1
09ba1b7d6908de970d8112562ee22b30	k__Fungi	1
318433058d639df942a699b3bae295f8	k__Fungi	1
7e81529368598606a152d4fd75bd5887	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Hypocreales_gen_Incertae_sedis;s__Hypocreales_sp;sh__SH0109239.09FU	0.963275574
56b17ee22867f28d69ceed6536bce3f4	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.757983363
2166186fb4bd4c395a3515872f995fce	k__Fungi;p__Ascomycota	0.770413039
fd007f1982987e96e7ce96056c5d57d0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Sordariales_fam_Incertae_sedis;g__Sordariales_gen_Incertae_sedis;s__Sordariales_sp;sh__SH0025185.09FU	0.805760105
352d386293a59777de3e3e6a91f58466	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.928313461
d8d336bb00cf5214d2fb4bad1ffd586f	k__Fungi	1
92447b23c87910df3b4767e305978a47	k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Microstromatales;f__Microstromataceae;g__Microstroma;s__Microstroma_bacarum;sh__SH0210129.09FU	0.999992603
f5bc8bfb6d5e2f4b1441d2dd18b07211	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_avenaceum;sh__SH0168096.09FU	0.797202431
1cfed5ec88a3950b146bd54d22797e37	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_oxysporum	0.888680335
3651972045124590a0b441270cf5082d	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae	0.988169067
cb2deb04441a3ece31aef06fac2c7d26	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae	0.993656988
1e6e89f22c4daeda48420e78b93b02e0	k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis;f__Fungi_fam_Incertae_sedis;g__Fungi_gen_Incertae_sedis;s__Fungi_sp;sh__SH0246790.09FU	1
35c4d54e19b96c32092a74dac39e89aa	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Onygenales_fam_Incertae_sedis;g__Onygenales_gen_Incertae_sedis;s__Onygenales_sp;sh__SH0031711.09FU	0.999961951
2668aecfd4b2cbfe24f5e07f50b49294	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Leotiomycetes_ord_Incertae_sedis;f__Leotiomycetes_fam_Incertae_sedis;g__Leotiomycetes_gen_Incertae_sedis;s__Leotiomycetes_sp;sh__SH0112648.09FU	1
c9c6b37c02861a094891437716238980	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae	0.910360165
dabfbac17ada76765b6deb5ab443b740	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Gibellulopsis;s__Gibellulopsis_piscis;sh__SH0029586.09FU	0.755896898
ce39b85296ee312be80d99eff7ace8c1	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomiaceae_gen_Incertae_sedis;s__Chaetomiaceae_sp	0.980600398
ebbacbda98427ba94a3219022c67eb6c	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;g__Knufia;s__Knufia_sp;sh__SH0100905.09FU	0.999707133
741cf83aab9571999d9a20901e0cafc5	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae	0.984685204
3fa7515fdf29d8e0a97e8505c954e112	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;s__Exophiala_opportunistica;sh__SH0214875.09FU	0.97846065
1fd9426fd82dbe1663b15cedd10ff25b	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusicolla	0.799456236
7bcca5a2626c29b390b3e54ad0c268c0	k__Fungi	1
33738733f1c0cb4f8d07154e5e095a48	k__Fungi	1
73514f6e23fa430c512721de0d7376a3	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.835774707
64190f323bd4b6d7dbdd8fb50eca6c66	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Pyrenochaetopsis;s__Pyrenochaetopsis_leptospora;sh__SH0057107.09FU	0.999889823
ab99db73bcffa6c8c0bc7aade29e26c6	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.992867166
ac3df580ae60bdd20ffc9cf0af6c965b	k__Fungi;p__Ascomycota;c__Dothideomycetes	0.991363317
dbe49a0bedafa1d8435c00bd6f28bbf4	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Verrucariales;f__Verrucariales_fam_Incertae_sedis;g__Verrucariales_gen_Incertae_sedis;s__Verrucariales_sp;sh__SH0030175.09FU	0.978771764
25aa65a102bc24d99a7b0baef6bfe7f0	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizales_fam_Incertae_sedis;g__Pezizales_gen_Incertae_sedis;s__Pezizales_sp;sh__SH0027015.09FU	0.999959167
3c29272f4b291260dd832d45d38e0342	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pyronemataceae_gen_Incertae_sedis;s__Pyronemataceae_sp;sh__SH0226178.09FU	0.999934465
fd2e05a267fe5bb26c7bee654bde8428	k__Fungi	1
32886665ddb79da355b3921fc527bf5c	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp;sh__SH0035867.09FU	0.999999583
d28c900aca008fa0825e6c6ab6f1b45a	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Macrophomina;s__Macrophomina_sp;sh__SH0051535.09FU	0.775995744
b128735198971773313aec81e5e383d4	k__Fungi	1
375a3bb4c8e6653dd67ca34504874591	k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis;f__Fungi_fam_Incertae_sedis;g__Fungi_gen_Incertae_sedis;s__Fungi_sp;sh__SH0246790.09FU	0.962213115
cf59594b68e3eefaf53ba5d657ace0c2	k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis;f__Fungi_fam_Incertae_sedis;g__Fungi_gen_Incertae_sedis;s__Fungi_sp	0.722946783
