SampleID	Plate	Well	Soil	Location	Time	Gene	internal-tags	PCR2	read_number
ECOGEN2025_BC096_F3-R2	Plate14	A1	CAZA-A	Deep	NA	16S	F3-R2	BC096	31469
ECOGEN2025_BC095_F3-R2	Plate14	B1	CAST-A	Surface	NA	16S	F3-R2	BC095	33322
ECOGEN2025_BC094_F3-R2	Plate14	C1	CAST-A	Deep	NA	16S	F3-R2	BC094	39939
ECOGEN2025_BC093_F3-R2	Plate14	D1	CAZA-A	Deep	NA	16S	F3-R2	BC093	65
ECOGEN2025_BC092_F3-R2	Plate14	E1	GAIL-A	Surface	NA	16S	F3-R2	BC092	47792
ECOGEN2025_BC091_F3-R2	Plate14	F1	CAZA-A	Deep	NA	16S	F3-R2	BC091	43
ECOGEN2025_BC090_F3-R2	Plate14	G1	GAIL-A	Surface	NA	16S	F3-R2	BC090	418
ECOGEN2025_BC089_F3-R2	Plate14	H1	CAST-A	Surface	NA	16S	F3-R2	BC089	14194
ECOGEN2025_BC088_F3-R2	Plate14	A2	GAIL-A	Deep	NA	16S	F3-R2	BC088	22573
ECOGEN2025_BC087_F3-R2	Plate14	B2	CAST-A	Deep	NA	16S	F3-R2	BC087	5
ECOGEN2025_BC086_F3-R2	Plate14	C2	CAZA-A	Surface	NA	16S	F3-R2	BC086	25
ECOGEN2025_BC085_F3-R2	Plate14	D2	CAST-A	Surface	NA	16S	F3-R2	BC085	56740
ECOGEN2025_BC084_F3-R2	Plate14	E2	CAZA-A	Surface	NA	16S	F3-R2	BC084	27368
ECOGEN2025_BC083_F3-R2	Plate14	F2	CAST-A	Deep	NA	16S	F3-R2	BC083	27610
ECOGEN2025_BC082_F3-R2	Plate14	G2	GAIL-A	Deep	NA	16S	F3-R2	BC082	82014
ECOGEN2025_BC081_F3-R2	Plate14	H2	GAIL-A	Deep	NA	16S	F3-R2	BC081	63306
ECOGEN2025_BC080_F3-R2	Plate14	A3	CAZA-A	Surface	NA	16S	F3-R2	BC080	35030
ECOGEN2025_BC079_F3-R2	Plate14	B3	GAIL-A	Surface	NA	16S	F3-R2	BC079	46129
ECOGEN2025_BC064_F7-R2	Plate14	A1	CAZA-A	Deep	NA	ITS	F7-R2	BC064	33624
ECOGEN2025_BC063_F7-R2	Plate14	B1	CAST-A	Surface	NA	ITS	F7-R2	BC063	53123
ECOGEN2025_BC062_F7-R2	Plate14	C1	CAST-A	Deep	NA	ITS	F7-R2	BC062	49494
ECOGEN2025_BC061_F7-R2	Plate14	D1	CAZA-A	Deep	NA	ITS	F7-R2	BC061	130
ECOGEN2025_BC060_F7-R2	Plate14	E1	GAIL-A	Surface	NA	ITS	F7-R2	BC060	40411
ECOGEN2025_BC059_F7-R2	Plate14	F1	CAZA-A	Deep	NA	ITS	F7-R2	BC059	47069
ECOGEN2025_BC058_F7-R2	Plate14	G1	GAIL-A	Surface	NA	ITS	F7-R2	BC058	43745
ECOGEN2025_BC057_F7-R2	Plate14	H1	CAST-A	Surface	NA	ITS	F7-R2	BC057	39394
ECOGEN2025_BC056_F7-R2	Plate14	A2	GAIL-A	Deep	NA	ITS	F7-R2	BC056	59750
ECOGEN2025_BC055_F7-R2	Plate14	B2	CAST-A	Deep	NA	ITS	F7-R2	BC055	58414
ECOGEN2025_BC054_F7-R2	Plate14	C2	CAZA-A	Surface	NA	ITS	F7-R2	BC054	72
ECOGEN2025_BC053_F7-R2	Plate14	D2	CAST-A	Surface	NA	ITS	F7-R2	BC053	60682
ECOGEN2025_BC052_F7-R2	Plate14	E2	CAZA-A	Surface	NA	ITS	F7-R2	BC052	57766
ECOGEN2025_BC051_F7-R2	Plate14	F2	CAST-A	Deep	NA	ITS	F7-R2	BC051	65822
ECOGEN2025_BC050_F7-R2	Plate14	G2	GAIL-A	Deep	NA	ITS	F7-R2	BC050	76558
ECOGEN2025_BC049_F7-R2	Plate14	H2	GAIL-A	Deep	NA	ITS	F7-R2	BC049	66664
ECOGEN2025_BC048_F7-R2	Plate14	A3	CAZA-A	Surface	NA	ITS	F7-R2	BC048	62514
ECOGEN2025_BC047_F7-R2	Plate14	B3	GAIL-A	Surface	NA	ITS	F7-R2	BC047	79382
ECOGEN2025_BC032_F1_18S-R1	Plate14	A1	CAZA-A	Deep	NA	18S	F1_18S-R1	BC032	36776
ECOGEN2025_BC031_F1_18S-R1	Plate14	B1	CAST-A	Surface	NA	18S	F1_18S-R1	BC031	15091
ECOGEN2025_BC030_F1_18S-R1	Plate14	C1	CAST-A	Deep	NA	18S	F1_18S-R1	BC030	28103
ECOGEN2025_BC029_F1_18S-R1	Plate14	D1	CAZA-A	Deep	NA	18S	F1_18S-R1	BC029	59
ECOGEN2025_BC028_F1_18S-R1	Plate14	E1	GAIL-A	Surface	NA	18S	F1_18S-R1	BC028	25102
ECOGEN2025_BC027_F1_18S-R1	Plate14	F1	CAZA-A	Deep	NA	18S	F1_18S-R1	BC027	13829
ECOGEN2025_BC026_F1_18S-R1	Plate14	G1	GAIL-A	Surface	NA	18S	F1_18S-R1	BC026	21645
ECOGEN2025_BC025_F1_18S-R1	Plate14	H1	CAST-A	Surface	NA	18S	F1_18S-R1	BC025	25500
ECOGEN2025_BC024_F1_18S-R1	Plate14	A2	GAIL-A	Deep	NA	18S	F1_18S-R1	BC024	41184
ECOGEN2025_BC023_F1_18S-R1	Plate14	B2	CAST-A	Deep	NA	18S	F1_18S-R1	BC023	16910
ECOGEN2025_BC022_F1_18S-R1	Plate14	C2	CAZA-A	Surface	NA	18S	F1_18S-R1	BC022	24
ECOGEN2025_BC021_F1_18S-R1	Plate14	D2	CAST-A	Surface	NA	18S	F1_18S-R1	BC021	30918
ECOGEN2025_BC020_F1_18S-R1	Plate14	E2	CAZA-A	Surface	NA	18S	F1_18S-R1	BC020	17427
ECOGEN2025_BC019_F1_18S-R1	Plate14	F2	CAST-A	Deep	NA	18S	F1_18S-R1	BC019	15548
ECOGEN2025_BC018_F1_18S-R1	Plate14	G2	GAIL-A	Deep	NA	18S	F1_18S-R1	BC018	46773
ECOGEN2025_BC017_F1_18S-R1	Plate14	H2	GAIL-A	Deep	NA	18S	F1_18S-R1	BC017	33106
ECOGEN2025_BC016_F1_18S-R1	Plate14	A3	CAZA-A	Surface	NA	18S	F1_18S-R1	BC016	39495
ECOGEN2025_BC015_F1_18S-R1	Plate14	B3	GAIL-A	Surface	NA	18S	F1_18S-R1	BC015	50571
