Site	Cluster	Site	Total_nitrogen	Carbon_nitrogen_ratio	pH	Phosphore	Calcium	Magnesium	Sodium	Potassium	Iron	Aluminium	WHC	Organic_carbon	Soil_organic_matter	Manganese	Temp_high_Week1	Temp_low_Week1	Temp_avg_Week1	Dewpoint_high_Week1	Dewpoint_low_Week1	Dewpoint_avg_Week1	Humidity_high_Week1	Humidity_low_Week1	Humidity_avg_Week1	Windgust_Week1	Wind_high_Week1	Wind_low_Week1	Pressure_high_Week1	Pressure_low_Week1	Precipitation	Temp_high_Week2	Temp_low_Week2	Temp_avg_Week2	Dewpoint_high_Week2	Dewpoint_low_Week2	Dewpoint_avg_Week2	Humidity_high_Week2	Humidity_low_Week2	Humidity_avg_Week2	Windgust_Week2	Wind_high_Week2	Wind_low_Week2	Pressure_high_Week2	Pressure_low_Week2	Precipitation	Temp_high_Week3	Temp_low_Week3	Temp_avg_Week3	Dewpoint_high_Week3	Dewpoint_low_Week3	Dewpoint_avg_Week3	Humidity_high_Week3	Humidity_low_Week3	Humidity_avg_Week3	Windgust_Week3	Wind_high_Week3	Wind_low_Week3	Pressure_high_Week3	Pressure_low_Week3	Precipitation	Temp_high_Week4	Temp_low_Week4	Temp_avg_Week4	Dewpoint_high_Week4	Dewpoint_low_Week4	Dewpoint_avg_Week4	Humidity_high_Week4	Humidity_low_Week4	Humidity_avg_Week4	Windgust_Week4	Wind_high_Week4	Wind_low_Week4	Pressure_high_Week4	Pressure_low_Week4	Precipitation	PCoA1_plant_communities	PCoA2_plant_communities	PCoA3_plant_communities	Shannon_diversity_plant_communities	Plant_cover
1	1	AMBR-A	2.735	22.05	7.895	0.0805	14	1.485	0.0713	0.4525	0	0.01285	0.448734307	61.3	106.25	0	16.5	14.3	12.4	15.3	12.7	9.9	98	90	68	10.8	4.1	0	1021.67	1018.63	10.44	18.8	14.4	11.8	14.1	11.9	9.7	97	86	63	11.9	5.2	0	1021	1018.63	0.56	16.8	12.6	9.6	12.7	10.9	9.2	99	90	74	9.7	3.6	0	1018.63	1015.58	0.81	17.5	10.9	4.1	9.1	4.8	1.5	87	67	51	10.5	2.7	0	1021	1016.26	0	-0.178220634	-0.237244807	-0.063761753	2.05371789	2.5
2	2	ANGE-A	1.0245	12.7	8.445	0.0505	12.4	0.6545	0.01885	0.4375	0	0.0235	0.276941943	12.95	22.45	0	26.1	19.2	12	18.5	13.4	7.3	91	70	51	14	1.6	0	1003.05	996.95	0	19.8	15.4	11	17.1	13.9	10.7	98	91	77	9.7	0.3	0	1001.36	999.66	1.27	25.8	16.1	7.3	13.5	7.6	4.4	85	60	29	10.8	1	0	998.65	994.92	0	16.3	10.8	6.1	12	8.3	5.2	98	85	68	38.5	3.5	0	999.66	994.24	1.52	-0.279495409	-0.094667429	0.08994514	1.000702145	1
3	2	ANGE-B	2.85	11.05	7.815	0.041	20.2	1.059	0.0243	0.3115	0.00275	0.03235	0.342327142	31.45	54.5	0	26.1	19.2	12	18.5	13.4	7.3	91	70	51	14	1.6	0	1003.05	996.95	0	19.8	15.4	11	17.1	13.9	10.7	98	91	77	9.7	0.3	0	1001.36	999.66	1.27	25.8	16.1	7.3	13.5	7.6	4.4	85	60	29	10.8	1	0	998.65	994.92	0	16.3	10.8	6.1	12	8.3	5.2	98	85	68	38.5	3.5	0	999.66	994.24	1.52	0.115094034	0.074259739	-0.144372585	1.573634198	2
4	2	AUZE-A	1.074	13.85	7.235	0.028	6.08	0.398	0.016	0.2065	0.0038	0.023	0.177783312	14.805	25.65	0.0102	24.6	18.5	14.3	15.4	13.2	9.3	90	73	50	28.8	3.6	0	1079.78	1073.69	0	18.7	14.5	10.8	16.2	13.7	10.5	99	95	82	6.5	0.5	0	1077.41	1075.69	2.79	22.3	15.1	8.9	10.4	7.2	2.8	92	62	30	23	4.6	0	1075.31	1071.39	0	17.6	11.1	7.4	10.9	8.7	6.3	97	86	60	14.4	1.2	0	1076.09	1070.71	4.39	-0.137796298	-0.063804571	-0.289599999	1.888546791	2.5
5	3	AXLE-A	1.625	48.5	8.325	0.044	10.285	0.5645	0.0267	0.1425	0.00725	0.0326	0.225700831	78.7	136	0	15.3	11.5	7.7	12.2	10.1	7.2	98	91	72	32.2	10.7	0	1022.01	1018.29	12.45	12.5	10.2	8.1	10.6	8.8	7.8	97	91	79	32.2	14.1	4.8	1021.33	1018.29	17.78	14.3	10.4	6.3	10	7.5	5	94	83	66	37	13.7	1.6	1017.27	1015.24	0	12.2	7.5	2.4	6.7	3.1	-0.6	84	74	61	32.2	12.8	0	1021.67	1017.27	0	0.157807395	-0.016235818	-0.139468843	1.761346932	4.5
6	2	BAGNB-B	2.015	12.1	7.22	0.078	10.24	1.1	0.1427	0.2685	0.0089	0.047	0.364684425	24.3	42.05	0.0144	33.2	26.8	11.9	12.4	10.1	6.4	70	37	23	15.1	3.8	0	999.66	996.28	0	19.6	17.2	13.5	15.2	13.6	11.5	89	80	74	28	8.8	0	1000.68	999.32	9.4	19.3	15.6	5.6	8.5	6.1	2.6	81	54	43	18	4.2	0	999.66	997.29	0	19.1	16.2	10.9	10.9	9.3	6.6	76	64	58	11.9	3.6	0	1005.08	999.66	0	0.101640319	0.297209628	-0.450148003	1.687757072	4
7	3	BANI-A	4.625	10.155	6.68	0.0775	15.7	1.875	0.0889	0.3025	0	0.0156	0.645490707	46.9	81.15	0.02825	24.8	17.1	9.7	16.9	13	9.5	99	79	43	15.8	1.4	0	1005.08	1003.05	0.25	18	13.8	11.1	14.9	12.4	10.6	98	92	76	8.9	0.4	0	1006.1	1003.05	0.51	17.1	10.8	8.6	11	8.7	6.3	98	88	52	33.8	2.9	0	1009.82	1006.1	8.38	19.1	14.8	11.6	14	11.7	10	97	83	59	14.6	2.1	0	1012.87	1009.82	0	0.214059707	-0.240722032	-0.049995144	1.43228424	3.5
8	2	BANI-C	1.895	9.355	8.38	0.064	11.9	0.346	0.0223	0.116	0.0035	0.03325	0.429160984	17.6	30.5	0	24.8	17.1	9.7	16.9	13	9.5	99	79	43	15.8	1.4	0	1005.08	1003.05	0.25	18	13.8	11.1	14.9	12.4	10.6	98	92	76	8.9	0.4	0	1006.1	1003.05	0.51	17.1	10.8	8.6	11	8.7	6.3	98	88	52	33.8	2.9	0	1009.82	1006.1	8.38	19.1	14.8	11.6	14	11.7	10	97	83	59	14.6	2.1	0	1012.87	1009.82	0	-0.246467653	0.10235233	-0.264909338	1.368399173	2
9	1	BARA-C	2.709189759	14.27674699	7.525424242	0.095039634	12.80674847	1.295555215	0.052942025	0.587377914	0.004306442	0.038334663	0.306212454	38.49271084	66.60503012	0.01310184	14.7	9.5	7	12.1	8.1	6.5	97	92	74	18.3	3.6	0	1017.95	1015.24	4.83	26.7	21.1	13.5	14.2	11.4	9	79	55	34	15	3.6	0	1021.67	1019.3	0	19.2	12.6	8.7	13.7	10.5	6.2	97	88	66	14.3	1.7	0	1018.29	1016.93	0.76	19.9	13.3	5.9	9	4.8	2.2	85	59	33	17.9	2.3	0	1013.88	1008.13	0	0.227944415	-0.186920525	-0.009548073	2.138884903	2
10	2	BARC-A	3.05	12.4	7.775	0.1285	15.55	0.9805	0.0507	0.387	0	0.0279	0.380871202	39.45	68.2	0	27.2	17.4	7.1	14.1	9.1	6	95	61	31	15.5	2.7	0	1017.81	1011.51	0	17.5	14.3	13	16.5	13.9	12.7	99	98	90	10.8	2.8	0	1016.29	1013.21	10.69	20	11.5	3.2	9.2	5.7	2.4	99	71	35	10.8	1.6	0	1016.9	1012.19	0	20.9	15.1	11	12	10	8.8	89	73	48	9.4	2	0	1024.11	1014.6	0	0.077044498	0.277104437	-0.209430279	1.309023832	1.5
