SampleID_16S	SampleID_ITS	Sample_ID	Site	Region	Cluster
ECOGEN2023_A1_A7_F2.R1	ECOGEN2023_A1_A7_F2.R2	SurveyECOGEN2023_1	LECT-A	Gers	1
ECOGEN2023_B2_B8_F2.R1	ECOGEN2023_B2_B8_F2.R2	SurveyECOGEN2023_10	SAMA-A	Gers	1
ECOGEN2023_D1_D7_F2.R5	ECOGEN2023_D1_D7_F2.R5	SurveyECOGEN2023_100	PREI-A(2)	Gers	1
ECOGEN2023_E1_E7_F2.R5	ECOGEN2023_E1_E7_F2.R5	SurveyECOGEN2023_101	MARS-A	Gers	1
ECOGEN2023_F1_F7_F2.R5	ECOGEN2023_F1_F7_F2.R5	SurveyECOGEN2023_102	MARS-B	Gers	1
ECOGEN2023_G1_G7_F2.R5	ECOGEN2023_G1_G7_F2.R5	SurveyECOGEN2023_103	MONF-A	Gers	1
ECOGEN2023_H1_H7_F2.R5	ECOGEN2023_H1_H7_F2.R5	SurveyECOGEN2023_104	THOM-A	Haute-Garonne	1
ECOGEN2023_A2_A8_F2.R5	ECOGEN2023_A2_A8_F2.R5	SurveyECOGEN2023_105	MONB-A	Gers	2
ECOGEN2023_B2_B8_F2.R5	ECOGEN2023_B2_B8_F2.R5	SurveyECOGEN2023_106	SAMA-A	Gers	1
ECOGEN2023_C2_C8_F2.R5	ECOGEN2023_C2_C8_F2.R5	SurveyECOGEN2023_107	SIMO-A	Gers	1
ECOGEN2023_D2_D8_F2.R5	ECOGEN2023_D2_D8_F2.R5	SurveyECOGEN2023_108	PUYM-B	Haute-Garonne	NA
ECOGEN2023_E2_E8_F2.R5	ECOGEN2023_E2_E8_F2.R5	SurveyECOGEN2023_109	MONTI-A	Gers	1
ECOGEN2023_C2_C8_F2.R1	ECOGEN2023_C2_C8_F2.R2	SurveyECOGEN2023_11	SIMO-A	Gers	1
ECOGEN2023_F2_F8_F2.R5	ECOGEN2023_F2_F8_F2.R5	SurveyECOGEN2023_110	MONTI-B	Gers	1
ECOGEN2023_G2_G8_F2.R5	ECOGEN2023_G2_G8_F2.R5	SurveyECOGEN2023_111	LUNA-A	Haute-Garonne	1
ECOGEN2023_H2_H8_F2.R5	ECOGEN2023_H2_H8_F2.R5	SurveyECOGEN2023_112	BOULO-A	Haute-Garonne	1
ECOGEN2023_A3_A9_F2.R5	ECOGEN2023_A3_A9_F2.R5	SurveyECOGEN2023_113	MASS-A	Gers	2
ECOGEN2023_B3_B9_F2.R5	ECOGEN2023_B3_B9_F2.R5	SurveyECOGEN2023_114	SEIS-A	Gers	NA
ECOGEN2023_C3_C9_F2.R5	ECOGEN2023_C3_C9_F2.R5	SurveyECOGEN2023_115	MEDA-A	Gers	1
ECOGEN2023_D3_D9_F2.R5	ECOGEN2023_D3_D9_F2.R5	SurveyECOGEN2023_116	BARC-A	Gers	1
