FeatureID	Domain	Phylum	Class	Order	Order_mod	Family	Genus	Species	confidence	core
71688d894c887ebb29133978000a982e	d__Bacteria	p__Chloroflexi	c__Chloroflexia	unassigned	unassigned	non-core				
45e7177977d061f88262c2e4a3897b8b	d__Bacteria	p__Bdellovibrionota	c__Oligoflexia	unassigned	unassigned	non-core				
8b2ab526557d83f569bb50fd45fff55f	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	unassigned	unassigned	non-core				
53c94ed04c5ecd6c498b3c505bb4db24	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	unassigned	unassigned	non-core				
57a26257908ad4d24b2bb1c4b5be6d04	d__Bacteria	p__Chloroflexi	c__Dehalococcoidia	unassigned	unassigned	non-core				
c0730cbdb7556cc84de94427e7ec025d	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	unassigned	unassigned	non-core				
c30edfad939f11b47cbfe05ab9f340f2	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	unassigned	unassigned	non-core				
c2cd4ff9f278525338d2156605535e1b	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	unassigned	unassigned	non-core				
b529010d050db36dc72fcb2f2e90a02a	d__Bacteria	p__Myxococcota	c__Polyangia	unassigned	unassigned	non-core				
7df7b977cba23e0a2bdb36b6b9796fa1	d__Bacteria	p__Patescibacteria	c__Gracilibacteria	unassigned	unassigned	non-core				
e0ee0d73fa69cd0d65cc2b6a589df53a	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	unassigned	unassigned	non-core				
f0aa77946e72a79a12cb8939087e82b1	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	unassigned	unassigned	non-core				
31ee4e21eed1b24fe553b36b48609436	d__Bacteria	p__Bdellovibrionota	c__Oligoflexia	unassigned	unassigned	non-core				
a20f569c6b8f71baafa1c9de5f46db00	d__Bacteria	p__Chloroflexi	c__Dehalococcoidia	unassigned	unassigned	non-core				
2d2970de91542d6534541fec395ef853	d__Bacteria	p__Chloroflexi	c__Dehalococcoidia	unassigned	unassigned	non-core				
c0669390c8d55678d02227b556ffb71b	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	unassigned	unassigned	non-core				
6f6d5bbb19028021dd3ad6e80800fb18	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	unassigned	unassigned	non-core				
1ec4103102d895ce30f399b9183cde97	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	unassigned	unassigned	non-core				
0cda12050b26ad146f510c2fc954dc4b	d__Bacteria	p__Myxococcota	c__Polyangia	unassigned	unassigned	non-core				
d98182c6bae6db17cf251628b0ce9086	d__Bacteria	p__Chloroflexi	c__Dehalococcoidia	unassigned	unassigned	non-core				
63fba3dfc1dfa399db2027da747db856	d__Bacteria	p__Chloroflexi	c__Dehalococcoidia	unassigned	unassigned	non-core				
a80d768d5884e82ff9eea2335d512cc4	d__Bacteria	p__Myxococcota	c__Polyangia	unassigned	unassigned	non-core				
1d36eccbb22b946d9dbc31d9c1131cb7	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	unassigned	unassigned	non-core				
0c4104de3392d72e53cb8817a38edf65	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	unassigned	unassigned	non-core				
c3ac3d320c7ec9fc987be0812f6ef17d	d__Bacteria	p__Chloroflexi	c__Anaerolineae	unassigned	unassigned	non-core				
0ee8082cc65a64489341d6c660283be2	d__Bacteria	p__Bdellovibrionota	c__Oligoflexia	unassigned	unassigned	non-core				
d195254bb270e1fcdc760a3923239df0	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	unassigned	unassigned	non-core				
4a7acc725d6d2fe2bcbbd60d211eb4e2	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	unassigned	unassigned	non-core				
53c88cffb5c1feab63ab335e8752e936	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	unassigned	unassigned	non-core				
8cf7d10e6cb10a9d555ba1ab5f590223	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	unassigned	unassigned	non-core				
5a4a0f9f26e0a6d4ca2bc1b8fdb7a942	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	unassigned	unassigned	non-core				
ab42b6f87ab888450a88d3a0a223a7e7	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	unassigned	unassigned	non-core				
12ad15d0c1216f8137bddc334f3dabaa	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	unassigned	unassigned	non-core				
bb98b9cd64f5e11bcddc5aa429191336	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	unassigned	unassigned	non-core				
7d58674f276ba021e399048375da627f	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	unassigned	unassigned	non-core				
175ec6346322e6b2bbf4368c07cc573e	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	unassigned	unassigned	non-core				
f03a89278da666cf0924bc0c54223590	d__Bacteria	p__Bdellovibrionota	c__Oligoflexia	unassigned	unassigned	non-core				
d41ab767ae9de4a8c6eaf6a25355117f	d__Bacteria	p__Bdellovibrionota	c__Oligoflexia	unassigned	unassigned	non-core				
7f433ae358d2624caa9c2fbf067b6910	d__Bacteria	p__Chloroflexi	c__Dehalococcoidia	unassigned	unassigned	non-core				
3607c7aedc29e6ff9df12bb64756bf6d	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	unassigned	unassigned	non-core				
32c4a4288ea0fa7e066ca7c5c7267377	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	unassigned	unassigned	non-core				
9650f7e7932afccc54e3d787bf7d7b43	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	unassigned	unassigned	non-core				
9fb431c9f7af4c40ec3397f16c31ec9d	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	unassigned	unassigned	non-core				
180cd16eacd8bcd710a28a2e49228d31	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	unassigned	unassigned	non-core				
53ac68aa9dd5e31c8ef342a57b08383e	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	unassigned	unassigned	non-core				
d0844dee217a8824b75f192f29d62825	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	unassigned	unassigned	non-core				
479c9224321c7ceecdf0869a2b1aa490	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	unassigned	unassigned	non-core				
9f0a180c2e2f79ff4a826688e185afd1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	unassigned	unassigned	non-core				
3181f34a2a47d2d8bd7b3da1ed59e2fb	d__Bacteria	p__Myxococcota	c__Polyangia	unassigned	unassigned	non-core				
e74d48cc5e25b6ed69401eb9705255e2	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	unassigned	unassigned	non-core				
b3eaae2d7a3f853630e939217abe9cce	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	unassigned	unassigned	non-core				
c3088c6753e0a83367c6014f5714bd50	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	unassigned	unassigned	non-core				
86e0faea59067caef56326da15ef8182	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	unassigned	unassigned	non-core				
ab7423918235340fa640ed5777b127a4	d__Bacteria	p__Myxococcota	c__Polyangia	unassigned	unassigned	non-core				
fbd6410564e2cde8cf538cbf549bb6c1	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	unassigned	unassigned	non-core				
15a4681cf7b4c9244369062ba52403aa	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	unassigned	unassigned	non-core				
8fff5967ac9fcb4208984b93ed9979bb	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	unassigned	unassigned	non-core				
41de747faa8734fb06f343462a5d0746	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	unassigned	unassigned	non-core				
7171eb15d731846967b86e9149c39001	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	unassigned	unassigned	non-core				
5741f249f568a3e0ee4cf17715403896	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	unassigned	unassigned	non-core				
cc3ac7f33dbdf7c430b0fccaaa8fba59	d__Bacteria	p__Myxococcota	c__Polyangia	unassigned	unassigned	non-core				
1dfea4bd4bb76ffbaf87dc11a0700d78	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	unassigned	unassigned	non-core				
97f986402f7e375e0f4bdab28c5f93ff	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	unassigned	unassigned	non-core				
717554bb99254a45d3cd906b4dc48357	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	unassigned	unassigned	non-core				
1b225c1860dc70f647b98db0d331f9b7	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	unassigned	unassigned	non-core				
488871c1e6a8f0f0fc65538c9a37b9a5	d__Bacteria	p__Firmicutes	c__Bacilli	unassigned	unassigned	non-core				
656e7bb750b58768a0009780b46c21d3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	unassigned	unassigned	non-core				
