"AverageShortestPathLength","BetweennessCentrality","Class","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","Family","Genus","IsSingleNode","Kingdom","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","Order","PartnerOfMultiEdgedNodePairs","Phylum","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"2.2462264150943394","8.798990138011045E-4","c__Abditibacteria","0.4451910961780765","0.41044776119402987","68","3","f__Abditibacteriaceae","g__Abditibacterium","false","d__Bacteria","d__Bacteria |  p__Abditibacteriota |  c__Abditibacteria | Abditibacteriales |  f__Abditibacteriaceae |  g__Abditibacterium","80.08823529411765","0","68","Abditibacteriales","0","p__Abditibacteriota","0.9946050804541371","false","0","d__Bacteria |  p__Abditibacteriota |  c__Abditibacteria | Abditibacteriales |  f__Abditibacteriaceae |  g__Abditibacterium","38048","0.10955982940371771"
"2.082075471698113","0.0013991511884211977","c__Holophagae","0.4802899864068872","0.3396358543417367","120","3","f__Subgroup_7","g__Subgroup_7.2","false","d__Bacteria","d__Bacteria |  p__Acidobacteriota |  c__Holophagae | Subgroup_7 |  f__Subgroup_7 |  g__Subgroup_7.2","107.33333333333333","0","120","Subgroup_7","0","p__Acidobacteriota","0.9953156905987094","false","0","d__Bacteria |  p__Acidobacteriota |  c__Holophagae | Subgroup_7 |  f__Subgroup_7 |  g__Subgroup_7.2","89852","0.12583040250097693"
"2.269811320754717","4.90147923750964E-4","c__Acidimicrobiia","0.4405652535328346","0.44064386317907445","71","3","f__IMCC26256","g__IMCC26256","false","d__Bacteria","d__Bacteria |  p__Actinobacteriota |  c__Acidimicrobiia | IMCC26256 |  f__IMCC26256 |  g__IMCC26256","87.5774647887324","0","71","IMCC26256","0","p__Actinobacteriota","0.9945029812954341","false","0","d__Bacteria |  p__Actinobacteriota |  c__Acidimicrobiia | IMCC26256 |  f__IMCC26256 |  g__IMCC26256","26884","0.12457676356860937"
"2.147169811320755","0.0018315083250062013","c__Acidimicrobiia","0.4657293497363796","0.2632010943912449","86","3","f__uncultured","g__uncultured","false","d__Bacteria","d__Bacteria |  p__Actinobacteriota |  c__Acidimicrobiia | uncultured |  f__uncultured |  g__uncultured","91.9186046511628","0","86","uncultured","0","p__Actinobacteriota","0.9950338969206893","false","0","d__Bacteria |  p__Actinobacteriota |  c__Acidimicrobiia | uncultured |  f__uncultured |  g__uncultured","97096","0.11236993233638483"
"2.138679245283019","0.0012141209493444398","c__Acidimicrobiia","0.4675782973092192","0.37215397215397217","111","3","f__uncultured","g__uncultured.1","false","d__Bacteria","d__Bacteria |  p__Actinobacteriota |  c__Acidimicrobiia | uncultured |  f__uncultured |  g__uncultured.1","92.02702702702703","0","111","uncultured","0","p__Actinobacteriota","0.9950706526178225","false","0","d__Bacteria |  p__Actinobacteriota |  c__Acidimicrobiia | uncultured |  f__uncultured |  g__uncultured.1","68174","0.1147469164925524"
"2.0886792452830187","0.002276401932986587","c__Actinobacteria","0.4787714543812105","0.27184466019417475","104","3","f__Nocardioidaceae","g__Kribbella","false","d__Bacteria","d__Bacteria |  p__Actinobacteriota |  c__Actinobacteria | Propionibacteriales |  f__Nocardioidaceae |  g__Kribbella","113.01923076923077","0","104","Propionibacteriales","0","p__Actinobacteriota","0.9952871028342726","false","0","d__Bacteria |  p__Actinobacteriota |  c__Actinobacteria | Propionibacteriales |  f__Nocardioidaceae |  g__Kribbella","147136","0.13111279671604498"
"2.15188679245283","0.0010958753460756589","c__Bacteroidia","0.46470846120122755","0.360180412371134","97","3","f__Hymenobacteraceae","g__Adhaeribacter.1","false","d__Bacteria","d__Bacteria |  p__Bacteroidota |  c__Bacteroidia | Cytophagales |  f__Hymenobacteraceae |  g__Adhaeribacter.1","102.25773195876289","0","97","Cytophagales","0","p__Bacteroidota","0.9950134770889487","false","0","d__Bacteria |  p__Bacteroidota |  c__Bacteroidia | Cytophagales |  f__Hymenobacteraceae |  g__Adhaeribacter.1","81394","0.12750340643237268"
"2.1254716981132074","0.0015016422578775451","c__Bacteroidia","0.47048379937860635","0.34172528693076637","74","3","f__Hymenobacteraceae","g__Adhaeribacter.3","false","d__Bacteria","d__Bacteria |  p__Bacteroidota |  c__Bacteroidia | Cytophagales |  f__Hymenobacteraceae |  g__Adhaeribacter.3","82.5945945945946","0","74","Cytophagales","0","p__Bacteroidota","0.995127828146696","false","0","d__Bacteria |  p__Bacteroidota |  c__Bacteroidia | Cytophagales |  f__Hymenobacteraceae |  g__Adhaeribacter.3","69618","0.09682836412027503"
"2.229245283018868","5.609886109088452E-4","c__TK10","0.44858231062209053","0.41782130912565696","92","3","f__TK10","g__TK10.17","false","d__Bacteria","d__Bacteria |  p__Chloroflexi |  c__TK10 | TK10 |  f__TK10 |  g__TK10.17","90.3695652173913","0","92","TK10","0","p__Chloroflexi","0.9946785918484032","false","0","d__Bacteria |  p__Chloroflexi |  c__TK10 | TK10 |  f__TK10 |  g__TK10.17","36034","0.12464767616191905"
"2.293396226415094","2.909020121196157E-4","c__TK10","0.43603455368161254","0.4484399788471708","62","3","f__TK10","g__TK10.48","false","d__Bacteria","d__Bacteria |  p__Chloroflexi |  c__TK10 | TK10 |  f__TK10 |  g__TK10.48","80.96774193548387","0","62","TK10","0","p__Chloroflexi","0.9944008821367312","false","0","d__Bacteria |  p__Chloroflexi |  c__TK10 | TK10 |  f__TK10 |  g__TK10.48","18508","0.11785697516082078"
"2.137735849056604","0.0012343405343425676","c__TK10","0.4677846425419241","0.34116129032258063","125","3","f__TK10","g__TK10.9","false","d__Bacteria","d__Bacteria |  p__Chloroflexi |  c__TK10 | TK10 |  f__TK10 |  g__TK10.9","101.856","0","125","TK10","0","p__Chloroflexi","0.9950747365841706","false","0","d__Bacteria |  p__Chloroflexi |  c__TK10 | TK10 |  f__TK10 |  g__TK10.9","75282","0.12909505703422053"
"2.2547169811320753","5.355871000478566E-4","c__Gemmatimonadetes","0.4435146443514645","0.22190611664295876","38","3","f__Gemmatimonadaceae","g__uncultured.1","false","d__Bacteria","d__Bacteria |  p__Gemmatimonadota |  c__Gemmatimonadetes | Gemmatimonadales |  f__Gemmatimonadaceae |  g__uncultured.1","80.47368421052632","0","38","Gemmatimonadales","0","p__Gemmatimonadota","0.994568324757004","false","0","d__Bacteria |  p__Gemmatimonadota |  c__Gemmatimonadetes | Gemmatimonadales |  f__Gemmatimonadaceae |  g__uncultured.1","26426","0.10701287793952967"
"2.1179245283018866","7.965280909894597E-4","c__Alphaproteobacteria","0.4721603563474388","0.35074626865671643","68","3","f__Acetobacteraceae","0.999996858","false","d__Bacteria","d__Bacteria |  p__Proteobacteria |  c__Alphaproteobacteria | Acetobacterales |  f__Acetobacteraceae | 0.999996858","97.94117647058823","0","68","Acetobacterales","0","p__Proteobacteria","0.995160499877481","false","0","d__Bacteria |  p__Proteobacteria |  c__Alphaproteobacteria | Acetobacterales |  f__Acetobacteraceae | 0.999996858","50258","0.1129656014654997"
"2.271698113207547","7.752082084703386E-4","c__Alphaproteobacteria","0.44019933554817275","0.3430619559651818","63","3","f__Caulobacteraceae","g__Brevundimonas.1","false","d__Bacteria","d__Bacteria |  p__Proteobacteria |  c__Alphaproteobacteria | Caulobacterales |  f__Caulobacteraceae |  g__Brevundimonas.1","82.65079365079364","0","63","Caulobacterales","0","p__Proteobacteria","0.9944948133627379","false","0","d__Bacteria |  p__Proteobacteria |  c__Alphaproteobacteria | Caulobacterales |  f__Caulobacteraceae |  g__Brevundimonas.1","34444","0.11657375691226185"
"2.279245283018868","5.609085073985832E-4","c__Alphaproteobacteria","0.43874172185430466","0.3641552511415525","73","3","f__Caulobacteraceae","g__Phenylobacterium","false","d__Bacteria","d__Bacteria |  p__Proteobacteria |  c__Alphaproteobacteria | Caulobacterales |  f__Caulobacteraceae |  g__Phenylobacterium","86.78082191780823","0","73","Caulobacterales","0","p__Proteobacteria","0.994462141631953","false","0","d__Bacteria |  p__Proteobacteria |  c__Alphaproteobacteria | Caulobacterales |  f__Caulobacteraceae |  g__Phenylobacterium","29894","0.12558729655254447"
"2.0443396226415094","0.002968900716350473","c__Alphaproteobacteria","0.4891555145362252","0.35804263565891475","129","3","f__Beijerinckiaceae","g__Methylorosula","false","d__Bacteria","d__Bacteria |  p__Proteobacteria |  c__Alphaproteobacteria | Rhizobiales |  f__Beijerinckiaceae |  g__Methylorosula","88.70542635658914","0","129","Rhizobiales","0","p__Proteobacteria","0.9954790492526342","false","0","d__Bacteria |  p__Proteobacteria |  c__Alphaproteobacteria | Rhizobiales |  f__Beijerinckiaceae |  g__Methylorosula","131892","0.10034550492826827"
"2.2433962264150944","4.795926136303623E-4","c__Alphaproteobacteria","0.44575273338940286","0.39099941554646406","59","3","f__Xanthobacteraceae","g__Bradyrhizobium.4","false","d__Bacteria","d__Bacteria |  p__Proteobacteria |  c__Alphaproteobacteria | Rhizobiales |  f__Xanthobacteraceae |  g__Bradyrhizobium.4","96.30508474576271","0","59","Rhizobiales","0","p__Proteobacteria","0.9946173323531814","false","0","d__Bacteria |  p__Proteobacteria |  c__Alphaproteobacteria | Rhizobiales |  f__Xanthobacteraceae |  g__Bradyrhizobium.4","26720","0.12961653397814632"
"2.299056603773585","3.2458123538005226E-4","c__Alphaproteobacteria","0.434961017644645","0.4320436507936508","64","3","f__Mitochondria","g__Mitochondria.1","false","d__Bacteria","d__Bacteria |  p__Proteobacteria |  c__Alphaproteobacteria | Rickettsiales |  f__Mitochondria |  g__Mitochondria.1","80.296875","0","64","Rickettsiales","0","p__Proteobacteria","0.9943763783386426","false","0","d__Bacteria |  p__Proteobacteria |  c__Alphaproteobacteria | Rickettsiales |  f__Mitochondria |  g__Mitochondria.1","19622","0.11825754786450662"
